,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster51.oracleGeneral.zst_6322932555,0.2067,0.1163,0.209,0.2063,0.2457,0.2266,0.3077,0.2071,0.5203,0.2525,0.2435,0.2065,0.2007,0.1869,0.1783,0.197,0.18,0.2234,0.1852
cluster7.oracleGeneral.zst_1044513075,0.2278,0.1333,0.2282,0.2372,0.292,0.3096,0.2833,0.2385,0.6357,0.2769,0.2528,0.2277,0.2272,0.2057,0.1887,0.2258,0.1859,0.1996,0.1984
cluster3.oracleGeneral.zst_820307312,0.1943,0.1113,0.1842,0.1905,0.2308,0.1997,0.2701,0.199,0.5376,0.2226,0.1804,0.1957,0.181,0.1651,0.1623,0.1801,0.1707,0.1788,0.1658
cluster46.oracleGeneral.zst_6610320613,0.108,0.0626,0.1082,0.1127,0.1289,0.2054,0.1917,0.1027,0.319,0.2053,0.1085,0.108,0.1102,0.0972,0.0922,0.1047,0.0883,0.0867,0.0923
cluster30.oracleGeneral.zst_2554900851,0.149,0.0962,0.1528,0.1645,0.2058,0.1668,0.1542,0.1769,0.2876,0.1563,0.142,0.1698,0.1568,0.1343,0.1302,0.1469,0.1407,0.1377,0.1361
cluster17.oracleGeneral.zst_9772999471,0.16,0.0872,0.1569,0.1578,0.1974,0.1689,0.258,0.1593,0.4864,0.152,0.1584,0.16,0.1495,0.1395,0.1371,0.1503,0.1401,0.155,0.1393
cluster20.oracleGeneral.zst_3663259123,0.0819,0.062,,0.0808,0.0886,0.0797,0.0805,0.0798,0.5772,0.079,0.0794,0.082,0.0787,0.0764,0.0766,0.0782,0.0794,0.0834,0.0764
cluster14.oracleGeneral.zst_3029143401,0.1916,0.1156,0.1847,0.1911,0.2214,0.214,0.2315,0.1906,0.4426,0.3604,0.1818,0.1901,0.1852,0.1695,0.1561,0.1795,0.1577,0.1588,0.1672
cluster52.oracleGeneral.zst_13426570607,0.1744,0.1159,0.1775,0.1782,0.2019,0.1904,0.1849,0.1764,0.4451,0.1935,0.1707,0.1771,0.1729,0.1595,0.1534,0.1703,0.1529,0.1576,0.1565
cluster6.oracleGeneral.zst_8376428572,0.474,0.225,0.4563,0.4663,0.5109,0.6427,0.8063,0.4515,0.7822,0.8035,0.4567,0.4739,0.4558,0.4165,0.4083,0.435,0.4391,0.416,0.4274
cluster19.oracleGeneral.zst_2006896318,0.6013,0.4225,0.5981,0.5988,0.6089,0.6089,0.602,0.5989,0.9677,0.6116,0.5959,0.5943,0.5956,0.5839,0.5595,0.5877,0.5651,0.5736,0.576
cluster34.oracleGeneral.zst_2147047915,0.462,0.4075,0.4693,0.4727,0.4877,0.4662,0.4937,0.4694,0.4971,0.5206,0.511,0.4721,0.4697,0.4569,0.4303,0.4511,0.434,0.4811,0.4535
cluster38.oracleGeneral.zst_1342423951,0.9368,0.9365,0.9365,0.9365,0.9365,0.9366,0.9365,0.9365,0.9963,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365
cluster39.oracleGeneral.zst_1329229014,0.938,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378,0.9972,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378
cluster24.oracleGeneral.zst_3289457233,0.2408,0.1412,0.2367,0.2435,0.2885,0.2483,0.2613,0.2389,0.4065,0.2126,0.226,0.2476,0.2294,0.2087,0.2004,0.2231,0.2078,0.209,0.2087
cluster45.oracleGeneral.zst_227773739,0.4501,0.3709,0.4571,0.465,0.4852,0.471,0.4645,0.4578,0.6564,0.4924,0.4558,0.4689,0.4544,0.4421,0.4365,0.4496,0.4401,0.4426,0.4395
cluster44.oracleGeneral.zst_5702089313,0.1862,0.1158,0.1872,0.1925,0.2281,0.1957,0.1875,0.1874,0.6245,0.1684,0.1808,0.1964,0.1874,0.168,0.1637,0.177,0.1702,0.179,0.1677
cluster22.oracleGeneral.zst_2030691718,0.3497,0.2809,0.3471,0.3459,0.3565,0.3471,0.3382,0.345,0.7315,0.3424,0.3559,0.3452,0.3436,0.3437,0.3429,0.3411,0.3459,0.3946,0.342
cluster42.oracleGeneral.zst_3904264364,0.3141,0.1803,0.2847,0.3053,0.367,0.4018,0.4763,0.311,0.482,0.4124,0.2775,0.3142,0.2812,0.2527,0.2443,0.278,0.2623,0.2585,0.255
cluster43.oracleGeneral.zst_9038233795,0.2795,0.1489,0.2801,0.2993,0.3411,0.446,0.8452,0.2772,0.669,0.3811,0.5097,0.2795,0.3218,0.2693,0.2264,0.2799,0.2463,0.3219,0.2328
cluster9.oracleGeneral.zst_10646675648,0.0817,0.0409,0.0813,0.081,0.1138,0.0925,0.1498,0.092,0.4,0.1195,0.0819,0.0814,0.0783,0.0719,0.0695,0.0778,0.0737,0.0745,0.0718
cluster8.oracleGeneral.zst_1302137879,0.8661,0.5891,0.9382,0.8736,0.853,0.8865,0.9176,0.8727,0.9934,0.7401,0.9771,0.8653,0.8652,0.9912,0.9912,0.9703,0.9643,0.9648,0.9915
cluster54.oracleGeneral.zst_11866133317,0.714,0.4625,0.6563,0.701,0.7507,0.6968,0.6093,0.6941,0.6449,0.6674,0.6309,0.714,0.6762,0.605,0.597,0.6371,0.6173,0.602,0.6091
cluster36.oracleGeneral.zst_5781263748,0.2261,0.1435,0.22,0.2205,0.241,0.2294,0.2125,0.2158,0.5043,0.2253,0.211,0.2158,0.2131,0.1981,0.1906,0.2101,0.1842,0.1868,0.1932
cluster10.oracleGeneral.zst_139150615,0.5,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.9446,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.5,0.4999
cluster35.oracleGeneral.zst_1828228908,0.057,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.6002,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568
cluster49.oracleGeneral.zst_799295267,0.647,0.3527,0.8157,0.6702,0.5434,0.7048,0.8945,0.6857,0.9921,0.6566,0.8182,0.6304,0.6393,0.8613,0.8634,0.8921,0.8371,0.8707,0.8582
cluster37.oracleGeneral.zst_3168270709,0.2335,0.2254,0.2319,0.233,0.2388,0.2457,0.2417,0.2325,0.3091,0.271,0.2314,0.2337,0.2318,0.2301,0.2302,0.2303,0.2312,0.2373,0.2299
cluster31.oracleGeneral.zst_1341176720,0.9384,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9972,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster47.oracleGeneral.zst_6225239439,0.1992,0.116,0.1919,0.2039,0.2517,0.2091,0.225,0.2172,0.4445,0.2074,0.1831,0.2106,0.193,0.17,0.166,0.1867,0.1781,0.1687,0.1722
cluster2.oracleGeneral.zst_7226679214,0.0473,0.0219,0.0475,0.0516,0.0666,0.1255,0.2407,0.113,0.2415,0.1216,0.3724,0.0472,0.0481,0.0421,0.0423,0.0521,0.0424,0.3739,0.04
cluster33.oracleGeneral.zst_6705048996,0.1585,0.0924,0.1483,0.1461,0.1755,0.1579,0.1508,0.149,0.2436,0.1669,0.1672,0.1474,0.1436,0.1467,0.1429,0.1429,0.1356,0.1452,0.1472
cluster13.oracleGeneral.zst_825381985,0.8907,0.8426,0.8431,0.843,0.843,0.8443,0.8452,0.843,0.9891,0.8434,0.8526,0.8429,0.8429,0.8441,0.8442,0.8435,0.843,0.855,0.8441
cluster29.oracleGeneral.zst_6920247859,0.1157,0.0678,0.1169,0.121,0.1568,0.2092,0.1578,0.1306,0.3674,0.1952,0.1088,0.1193,0.1113,0.1007,0.0942,0.1126,0.0987,0.096,0.0987
cluster40.oracleGeneral.zst_3847885075,0.0142,0.0084,0.0142,0.0147,0.021,0.1457,0.2411,0.0132,0.101,0.0726,0.0141,0.0142,0.0153,0.0129,0.0117,0.0139,0.0123,0.0122,0.0118
cluster53.oracleGeneral.zst_246508262,0.5805,0.3518,0.5696,0.5848,0.604,0.5841,0.5657,0.5871,0.7996,0.6552,0.5865,0.5805,0.5787,0.5405,0.5148,0.5369,0.5069,0.5012,0.5451
cluster1.oracleGeneral.zst_6461081324,0.6289,0.3782,0.6427,0.6275,0.6439,0.6726,0.7674,0.623,0.8575,0.6775,0.9098,0.6289,0.6297,0.6772,0.6766,0.6679,0.6524,0.9063,0.684
