,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU,flex-0.10-0.05-1.00
cluster28.oracleGeneral.zst_5267932037,0.0323,0.0203,0.0308,0.0302,0.0362,0.0319,0.0395,0.0411,0.5059,0.0301,0.0302,0.0303,0.0293,0.0283,0.0283,0.0292,0.0302,0.0318,0.0287
cluster48.oracleGeneral.zst_1129939853,0.5932,0.4754,0.605,0.6134,0.6428,0.5999,0.5996,0.6163,0.8601,0.6228,0.5894,0.6201,0.594,0.5799,0.5896,0.5939,0.6026,0.6312,0.58
cluster41.oracleGeneral.zst_3214344864,0.0085,0.005,0.0086,0.0089,0.0111,0.0254,0.0162,0.0082,0.0506,0.0334,0.0085,0.0085,0.0091,0.0078,0.0072,0.0082,0.0076,0.0079,0.0076
cluster51.oracleGeneral.zst_6322932555,0.104,0.0538,0.1077,0.1048,0.1314,0.1153,0.1514,0.1074,0.3892,0.1257,0.1109,0.1037,0.1012,0.0929,0.0885,0.0993,0.0908,0.1037,0.0923
cluster7.oracleGeneral.zst_1044513075,0.1277,0.0839,0.1296,0.1347,0.1648,0.1958,0.1367,0.1322,0.4801,0.1701,0.1351,0.1277,0.1281,0.1187,0.1087,0.1288,0.1023,0.1034,0.106
cluster3.oracleGeneral.zst_820307312,0.1025,0.0545,0.0966,0.0995,0.1278,0.1066,0.1452,0.1099,0.4498,0.123,0.0939,0.1024,0.0946,0.0852,0.0837,0.0944,0.0907,0.0967,0.0858
cluster46.oracleGeneral.zst_6610320613,0.0616,0.0399,0.0618,0.0647,0.0778,0.1349,0.1384,0.0588,0.1797,0.1455,0.0616,0.0616,0.0632,0.0552,0.0534,0.061,0.0498,0.0483,0.0535
cluster30.oracleGeneral.zst_2554900851,0.0774,0.0481,0.0806,0.0858,0.1123,0.0886,0.0854,0.0962,0.2007,0.0824,0.0753,0.088,0.0822,0.071,0.0681,0.0775,0.0742,0.0844,0.0721
cluster17.oracleGeneral.zst_9772999471,0.0734,0.0389,0.0727,0.0727,0.0974,0.0792,0.091,0.0725,0.3128,0.0679,0.0684,0.0734,0.0672,0.0625,0.0608,0.0688,0.0633,0.0625,0.0625
cluster20.oracleGeneral.zst_3663259123,0.068,0.0506,,0.0689,0.0746,0.0663,0.0624,0.0643,0.3081,0.0682,0.0654,0.0702,0.0651,0.0627,0.0621,0.0653,0.0641,0.0659,0.0623
cluster14.oracleGeneral.zst_3029143401,0.1165,0.0538,0.1369,0.1176,0.1415,0.1284,0.1171,0.1184,0.3447,0.1397,0.1052,0.1159,0.1095,0.1021,0.0966,0.1083,0.0929,0.0844,0.0968
cluster52.oracleGeneral.zst_13426570607,0.127,0.0802,0.1277,0.1269,0.1454,0.135,0.129,0.1241,0.3667,0.1406,0.1203,0.127,0.1207,0.1133,0.1093,0.121,0.1081,0.1118,0.1112
cluster6.oracleGeneral.zst_8376428572,0.1089,0.0486,0.1033,0.1061,0.151,0.1769,0.3467,0.1103,0.4656,0.2782,0.1007,0.1088,0.1025,0.0912,0.089,0.0989,0.1031,0.0923,0.0935
cluster19.oracleGeneral.zst_2006896318,0.5264,0.2933,0.5204,0.5063,0.5087,0.5092,0.5042,0.504,0.9256,0.4998,0.4819,0.4952,0.4955,0.4756,0.4508,0.4893,0.4665,0.4848,0.4697
cluster34.oracleGeneral.zst_2147047915,0.441,0.3648,0.4424,0.4479,0.459,0.4409,0.4478,0.4448,0.4742,0.4948,0.4491,0.4469,0.4459,0.4356,0.402,0.4282,0.4078,0.4092,0.4327
cluster38.oracleGeneral.zst_1342423951,0.9368,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9899,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365,0.9365
cluster39.oracleGeneral.zst_1329229014,0.938,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378,0.9906,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378,0.9378
cluster24.oracleGeneral.zst_3289457233,0.135,0.0737,0.1307,0.1329,0.1675,0.1383,0.1367,0.1308,0.2864,0.1177,0.1238,0.1345,0.1255,0.1152,0.1107,0.1235,0.1154,0.1134,0.1148
cluster45.oracleGeneral.zst_227773739,0.4074,0.3338,0.4108,0.4158,0.4327,0.4238,0.4204,0.4106,0.5918,0.4447,0.4131,0.4166,0.4096,0.4032,0.3995,0.4078,0.4016,0.4028,0.4006
cluster44.oracleGeneral.zst_5702089313,0.1146,0.0652,0.1113,0.113,0.1389,0.1164,0.108,0.1125,0.5315,0.0999,0.1068,0.1147,0.1098,0.0989,0.0961,0.1048,0.1012,0.1113,0.0985
cluster22.oracleGeneral.zst_2030691718,0.3192,0.2534,0.3157,0.3142,0.3223,0.3129,0.3009,0.3103,0.6118,0.3193,0.3245,0.3135,0.3119,0.3084,0.3034,0.3069,0.3037,0.3346,0.3056
cluster42.oracleGeneral.zst_3904264364,0.1644,0.0876,0.1476,0.1602,0.2069,0.2671,0.303,0.1679,0.3577,0.2159,0.1425,0.1646,0.1459,0.133,0.127,0.1459,0.1392,0.1307,0.1346
cluster43.oracleGeneral.zst_9038233795,0.1027,0.0475,0.1033,0.1087,0.144,0.2359,0.2762,0.0931,0.3814,0.1767,0.1641,0.1027,0.1252,0.0908,0.0859,0.0984,0.0937,0.0975,0.0866
cluster9.oracleGeneral.zst_10646675648,0.0275,0.0139,0.0285,0.0276,0.0395,0.0329,0.0384,0.0313,0.2181,0.0308,0.0283,0.0269,0.0265,0.0248,0.0238,0.0264,0.0247,0.0254,0.024
cluster8.oracleGeneral.zst_1302137879,0.6163,0.4439,0.783,0.6675,0.5589,0.7303,0.7977,0.6676,0.9845,0.5494,0.9156,0.6162,0.6162,0.8967,0.8874,0.8612,0.7899,0.8873,0.8978
cluster54.oracleGeneral.zst_11866133317,0.5126,0.3008,0.4779,0.5017,0.5636,0.5079,0.4379,0.4925,0.4858,0.4866,0.4623,0.5127,0.4863,0.4387,0.4317,0.4618,0.4532,0.4295,0.4439
cluster36.oracleGeneral.zst_5781263748,0.1694,0.1002,0.1659,0.1617,0.1799,0.171,0.1556,0.1581,0.4173,0.1663,0.1561,0.1589,0.1583,0.1462,0.1415,0.1549,0.1345,0.1365,0.1425
cluster10.oracleGeneral.zst_139150615,0.5,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.9419,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999,0.4999
cluster35.oracleGeneral.zst_1828228908,0.0569,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.586,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568
cluster49.oracleGeneral.zst_799295267,0.3443,0.2218,0.3735,0.3481,0.3715,0.4283,0.5609,0.3534,0.974,0.7636,0.6,0.3414,0.3509,0.4422,0.4301,0.3861,0.3769,0.461,0.4438
cluster37.oracleGeneral.zst_3168270709,0.2306,0.2254,0.229,0.2297,0.2327,0.2351,0.2331,0.2292,0.2588,0.244,0.229,0.2302,0.2292,0.228,0.2282,0.228,0.2288,0.2312,0.2279
cluster31.oracleGeneral.zst_1341176720,0.9384,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9906,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383,0.9383
cluster47.oracleGeneral.zst_6225239439,0.0947,0.0496,0.0894,0.0955,0.1278,0.1004,0.1107,0.1118,0.3305,0.1001,0.0847,0.099,0.0909,0.0802,0.0783,0.0887,0.0862,0.0789,0.0819
cluster2.oracleGeneral.zst_7226679214,0.0145,0.0086,0.0158,0.0151,0.0219,0.0525,0.1545,0.0293,0.3947,0.047,0.0147,0.0144,0.0168,0.0136,0.0136,0.0146,0.0126,0.0125,0.0128
cluster33.oracleGeneral.zst_6705048996,0.1008,0.0572,0.0935,0.0934,0.1136,0.0968,0.0906,0.0941,0.1679,0.1001,0.1012,0.0945,0.0875,0.0809,0.0754,0.0855,0.0785,0.0915,0.0794
cluster13.oracleGeneral.zst_825381985,0.8984,0.8426,0.8428,0.8427,0.8427,0.8431,0.8436,0.8427,0.9809,0.8429,0.8454,0.8427,0.8427,0.8432,0.8432,0.8429,0.8427,0.846,0.8433
cluster29.oracleGeneral.zst_6920247859,0.0642,0.0418,0.0614,0.0625,0.084,0.1162,0.0824,0.0622,0.2802,0.0907,0.056,0.0638,0.0611,0.0527,0.051,0.0582,0.0533,0.0534,0.0521
cluster40.oracleGeneral.zst_3847885075,0.0076,0.0046,0.0077,0.0079,0.0099,0.0213,0.0144,0.0073,0.0466,0.0326,0.0076,0.0076,0.0081,0.007,0.0065,0.0073,0.0068,0.0073,0.0068
cluster53.oracleGeneral.zst_246508262,0.3363,0.1847,0.3203,0.343,0.4074,0.3894,0.3706,0.3962,0.6708,0.4612,0.3216,0.3374,0.328,0.2939,0.2825,0.3038,0.2803,0.3133,0.2933
cluster1.oracleGeneral.zst_6461081324,0.3412,0.1627,0.3475,0.3406,0.3802,0.37,0.4194,0.3272,0.6059,0.3681,0.4015,0.3412,0.3366,0.3256,0.3175,0.3327,0.3318,0.3456,0.3285
