freq num average numcdf
314 8695 31853700.000 11139312
315 8560 31814200.000 11147872
316 8636 31679400.000 11156508
317 8427 31564200.000 11164935
318 8488 31484000.000 11173423
319 8269 31433400.000 11181692
320 8207 31312700.000 11189899
321 8276 31215100.000 11198175
322 8160 31107000.000 11206335
323 7890 30945400.000 11214225
324 7926 30820700.000 11222151
325 7757 30768900.000 11229908
326 7903 30689600.000 11237811
327 7897 30590400.000 11245708
328 7700 30482800.000 11253408
329 7625 30344700.000 11261033
330 7571 30203800.000 11268604
331 7475 30094200.000 11276079
332 7491 30036700.000 11283570
333 7349 29931700.000 11290919
334 7480 29893300.000 11298399
335 7303 29760700.000 11305702
336 7346 29699100.000 11313048
337 7259 29586600.000 11320307
338 7026 29443600.000 11327333
339 7076 29466300.000 11334409
340 6936 29396000.000 11341345
341 7027 29290200.000 11348372
342 6895 29214400.000 11355267
343 7015 29088400.000 11362282
344 7026 28914300.000 11369308
345 6881 28883100.000 11376189
346 6955 28907500.000 11383144
347 6800 28684000.000 11389944
348 6657 28681400.000 11396601
349 6678 28599300.000 11403279
350 6675 28475900.000 11409954
351 6725 28452500.000 11416679
352 6685 28349600.000 11423364
353 6658 28293800.000 11430022
354 6635 28210600.000 11436657
355 6525 28139200.000 11443182
356 6501 28043100.000 11449683
357 6556 27959100.000 11456239
358 6397 28030800.000 11462636
359 6447 27858800.000 11469083
360 6396 27887800.000 11475479
361 6334 27642700.000 11481813
362 6429 27492700.000 11488242
363 6272 27597400.000 11494514
364 6261 27382000.000 11500775
365 6257 27398800.000 11507032
366 6184 27280100.000 11513216
367 6215 27350700.000 11519431
368 6200 27064000.000 11525631
369 6170 27036300.000 11531801
370 6104 27018300.000 11537905
371 6208 26965600.000 11544113
372 6038 26939800.000 11550151
373 6117 26802800.000 11556268
374 5913 26735400.000 11562181
375 5976 26643000.000 11568157
376 6151 26702200.000 11574308
377 5989 26494300.000 11580297
378 5853 26473700.000 11586150
379 5931 26405700.000 11592081
380 5967 26336500.000 11598048
381 5942 26243900.000 11603990
382 5746 26258600.000 11609736
383 5993 26260700.000 11615729
384 5909 26055700.000 11621638
385 5754 25997500.000 11627392
386 5829 25983500.000 11633221
387 5790 25827600.000 11639011
388 5790 25742800.000 11644801
389 5614 25794600.000 11650415
390 5642 25613600.000 11656057
391 5748 25575700.000 11661805
392 5639 25533400.000 11667444
393 5680 25439500.000 11673124
394 5626 25476900.000 11678750
395 5626 25339800.000 11684376
396 5651 25378300.000 11690027
397 5677 25121800.000 11695704
398 5628 25145000.000 11701332
399 5625 25158900.000 11706957
400 5538 24992500.000 11712495
401 5533 25015900.000 11718028
402 5542 24980100.000 11723570
403 5484 24939100.000 11729054
404 5473 24779900.000 11734527
405 5526 24736900.000 11740053
406 5426 24678000.000 11745479
407 5552 24745100.000 11751031
408 5424 24582000.000 11756455
409 5404 24494200.000 11761859
410 5311 24529900.000 11767170
411 5303 24399600.000 11772473
412 5233 24379400.000 11777706
413 5301 24271800.000 11783007
414 5154 24275600.000 11788161
415 5269 24152500.000 11793430
416 5145 24047600.000 11798575
417 5290 24014000.000 11803865
418 5221 23992900.000 11809086
419 5122 24071200.000 11814208
420 5181 23905200.000 11819389
421 5144 23957600.000 11824533
422 5096 23928400.000 11829629
423 5231 23809000.000 11834860
424 5216 23504200.000 11840076
425 5084 23693200.000 11845160
426 5062 23618400.000 11850222
427 5154 23611600.000 11855376
428 5120 23568500.000 11860496
429 5027 23413000.000 11865523
430 5070 23397400.000 11870593
431 5164 23310700.000 11875757
432 5114 23312100.000 11880871
433 5075 23281800.000 11885946
434 4919 23245800.000 11890865
435 4988 23099800.000 11895853
436 5009 23042900.000 11900862
437 4979 23026000.000 11905841
438 5065 22931200.000 11910906
439 5132 23020800.000 11916038
440 4902 22921800.000 11920940
441 4891 22947900.000 11925831
442 5005 22836500.000 11930836
443 4987 22727000.000 11935823
444 4802 22780100.000 11940625
445 4916 22564000.000 11945541
446 4911 22700700.000 11950452
447 4897 22516100.000 11955349
448 4886 22504900.000 11960235
449 4856 22353400.000 11965091
450 4839 22326800.000 11969930
451 4849 22420900.000 11974779
452 4831 22308600.000 11979610
453 4817 22329000.000 11984427
454 4624 22099600.000 11989051
455 4694 22203100.000 11993745
456 4710 22147300.000 11998455
457 4798 22099000.000 12003253
458 4542 22101700.000 12007795
459 4726 22017700.000 12012521
460 4576 21953200.000 12017097
461 4601 21961000.000 12021698
462 4506 21851900.000 12026204
463 4778 21844400.000 12030982
464 4706 21814800.000 12035688
465 4575 21748900.000 12040263
466 4632 21756800.000 12044895
467 4569 21587800.000 12049464
468 4625 21598900.000 12054089
469 4615 21584200.000 12058704
470 4632 21509300.000 12063336
471 4674 21491000.000 12068010
472 4703 21459200.000 12072713
473 4483 21390100.000 12077196
474 4641 21453800.000 12081837
475 4579 21315400.000 12086416
476 4545 21225300.000 12090961
477 4418 21297300.000 12095379
478 4419 21217300.000 12099798
479 4428 21158500.000 12104226
480 4480 21111100.000 12108706
481 4533 21100600.000 12113239
482 4542 21035100.000 12117781
483 4491 20891300.000 12122272
484 4479 20969800.000 12126751
485 4353 20871600.000 12131104
486 4428 20884300.000 12135532
487 4329 20759800.000 12139861
488 4355 20782100.000 12144216
489 4368 20726100.000 12148584
490 4259 20567100.000 12152843
491 4493 20637700.000 12157336
492 4351 20637600.000 12161687
493 4264 20509800.000 12165951
494 4320 20482200.000 12170271
495 4151 20398100.000 12174422
496 4220 20414400.000 12178642
497 4277 20361300.000 12182919
498 4122 20314100.000 12187041
499 4127 20362100.000 12191168
500 4154 20342100.000 12195322
501 4012 20241600.000 12199334
502 4121 20181000.000 12203455
503 4021 20144500.000 12207476
504 4058 20114400.000 12211534
505 4070 20000100.000 12215604
506 4083 19966700.000 12219687
507 4086 19981000.000 12223773
508 4042 20006800.000 12227815
509 3839 19821300.000 12231654
510 4000 19810700.000 12235654
511 3992 19859600.000 12239646
512 3867 19797500.000 12243513
513 3922 19767200.000 12247435
514 4024 19706000.000 12251459
515 3882 19687000.000 12255341
516 3781 19657200.000 12259122
517 3909 19647000.000 12263031
518 3824 19539800.000 12266855
519 3857 19542000.000 12270712
520 3884 19531100.000 12274596
521 4026 19317900.000 12278622
522 3870 19427100.000 12282492
523 3713 19394300.000 12286205
524 3825 19280800.000 12290030
525 3829 19216600.000 12293859
526 3709 19302500.000 12297568
527 3719 19236500.000 12301287
528 3777 19169100.000 12305064
529 3745 19162600.000 12308809
530 3820 19188100.000 12312629
531 3746 19135500.000 12316375
532 3659 19025900.000 12320034
533 3606 19008500.000 12323640
534 3695 18963400.000 12327335
535 3620 18956100.000 12330955
536 3677 18919500.000 12334632
537 3768 18838000.000 12338400
538 3599 18796500.000 12341999
539 3520 18761500.000 12345519
540 3570 18805900.000 12349089
541 3501 18697100.000 12352590
542 3486 18729700.000 12356076
543 3542 18650900.000 12359618
544 3400 18598700.000 12363018
545 3490 18608400.000 12366508
546 3438 18632100.000 12369946
547 3440 18534800.000 12373386
548 3460 18448800.000 12376846
549 3483 18430700.000 12380329
550 3418 18440500.000 12383747
