index FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
w69.oracleGeneral.bin.zst_7874006 0.967 0.983 0.961 0.914 0.846 0.958 1.000 0.930
w95.oracleGeneral.bin.zst_3937240 0.990 1.000 0.975 0.977 0.972 0.955 0.990 0.980
w82.oracleGeneral.bin.zst_4926610 0.997 1.000 0.996 0.969 0.945 0.993 0.927 0.969
w48.oracleGeneral.bin.zst_14097008 0.999 0.912 0.996 0.866 0.764 0.998 0.798 0.795
w47.oracleGeneral.bin.zst_14314717 0.984 0.984 0.983 0.983 0.982 0.982 1.000 0.983
w61.oracleGeneral.bin.zst_9884691 0.868 0.853 0.980 1.000 0.967 0.781 0.523 0.972
w56.oracleGeneral.bin.zst_10899629 0.989 0.986 0.974 0.975 0.971 0.965 0.994 0.973
w77.oracleGeneral.bin.zst_5616402 0.947 0.983 0.920 0.922 0.913 0.902 1.000 0.919
w57.oracleGeneral.bin.zst_10554725 0.990 0.990 0.975 0.972 0.967 0.974 1.000 0.970
w104.oracleGeneral.bin.zst_3395553 1.000 0.965 0.968 0.961 0.826 0.912 0.927 0.870
w96.oracleGeneral.bin.zst_3787344 0.952 0.943 0.975 1.000 0.998 0.974 0.857 0.983
w01.oracleGeneral.bin.zst_215796257 0.968 0.967 0.958 0.965 0.959 0.878 0.814 0.961
w53.oracleGeneral.bin.zst_8973978 0.989 1.000 0.966 0.964 0.949 0.954 0.975 0.956
w12.oracleGeneral.bin.zst_45355529 0.997 0.998 0.997 0.996 0.993 0.997 0.998 0.987
