freq num average numcdf
500 3 35350.700 1595129
501 7 14432.900 1595136
502 12 31481.100 1595148
503 10 32196.600 1595158
504 7 32835.400 1595165
505 7 30745.700 1595172
506 11 34826.800 1595183
507 4 47890.500 1595187
508 8 30028.200 1595195
509 4 33304.000 1595199
510 7 23804.000 1595206
511 8 19285.100 1595214
512 5 29894.800 1595219
513 1 44014.000 1595220
514 8 27930.200 1595228
515 8 25632.900 1595236
516 8 29666.400 1595244
517 13 31614.400 1595257
518 5 42135.600 1595262
519 5 35995.200 1595267
520 6 20735.800 1595273
521 7 26834.900 1595280
522 7 40628.900 1595287
523 10 33533.800 1595297
524 3 26773.700 1595300
525 12 26433.200 1595312
526 8 24310.400 1595320
527 4 21899.500 1595324
528 5 20211.800 1595329
529 4 29660.500 1595333
530 8 19218.900 1595341
531 6 29765.800 1595347
532 4 31038.200 1595351
533 6 24761.700 1595357
534 5 30298.800 1595362
535 8 29360.400 1595370
536 6 26965.700 1595376
537 9 30726.000 1595385
538 5 37032.400 1595390
539 3 30170.700 1595393
540 1 35673.000 1595394
541 8 36225.800 1595402
542 3 35219.700 1595405
543 2 40794.500 1595407
544 6 25282.500 1595413
546 7 33800.300 1595420
548 5 22725.800 1595425
549 5 40836.200 1595430
550 2 44596.000 1595432
551 8 21603.400 1595440
552 5 28558.600 1595445
553 3 40585.000 1595448
554 5 38930.200 1595453
555 4 44185.800 1595457
556 6 31015.500 1595463
557 3 26709.700 1595466
558 3 39736.700 1595469
559 2 25013.500 1595471
560 4 28817.200 1595475
561 2 38602.500 1595477
562 3 20275.000 1595480
563 1 6497.000 1595481
565 3 27920.300 1595484
566 4 17353.800 1595488
567 5 20975.200 1595493
568 3 40071.700 1595496
569 5 22223.000 1595501
570 4 37278.000 1595505
571 1 31975.000 1595506
572 4 32019.800 1595510
573 4 21921.200 1595514
574 5 29393.000 1595519
575 4 26022.500 1595523
576 3 26482.000 1595526
577 5 22380.000 1595531
578 1 43272.000 1595532
579 5 28211.800 1595537
580 3 41117.000 1595540
582 3 15499.000 1595543
583 2 27454.000 1595545
584 5 36256.200 1595550
585 4 25805.800 1595554
586 3 39727.300 1595557
587 3 40396.000 1595560
588 2 32634.500 1595562
589 7 25525.900 1595569
591 4 25017.800 1595573
592 2 17508.000 1595575
593 2 20095.000 1595577
594 8 16882.100 1595585
595 5 38334.800 1595590
596 5 21881.000 1595595
597 1 16499.000 1595596
598 2 16412.500 1595598
599 1 37704.000 1595599
600 1 4709.000 1595600
602 4 35249.800 1595604
603 3 19380.700 1595607
604 2 28340.000 1595609
605 1 38975.000 1595610
606 3 29234.300 1595613
607 3 31356.700 1595616
608 2 37509.000 1595618
609 3 25347.300 1595621
610 1 36242.000 1595622
611 4 25485.500 1595626
612 4 30673.500 1595630
613 3 39616.300 1595633
614 4 31859.800 1595637
615 7 30866.400 1595644
616 2 19305.500 1595646
617 5 20679.000 1595651
618 4 27410.800 1595655
619 2 39312.000 1595657
620 4 30173.000 1595661
621 3 13557.000 1595664
622 3 18908.300 1595667
623 7 38688.000 1595674
624 4 23534.000 1595678
625 5 15967.800 1595683
626 7 33158.700 1595690
627 6 21370.300 1595696
628 2 4463.000 1595698
629 3 37393.000 1595701
630 3 25171.000 1595704
631 2 33207.500 1595706
632 4 37363.200 1595710
633 2 27386.500 1595712
634 5 30240.000 1595717
635 5 25412.600 1595722
636 9 30667.800 1595731
637 4 28519.500 1595735
638 3 25924.300 1595738
639 5 19001.200 1595743
640 9 37615.100 1595752
641 3 25201.300 1595755
642 7 31375.100 1595762
643 4 31069.000 1595766
644 5 28816.800 1595771
645 7 24232.400 1595778
646 4 36833.000 1595782
647 8 29813.800 1595790
648 8 35414.600 1595798
649 4 36579.800 1595802
650 7 33350.900 1595809
652 8 21738.900 1595817
653 3 26291.000 1595820
654 2 37314.000 1595822
655 6 26480.200 1595828
656 4 36689.800 1595832
657 3 34587.000 1595835
658 4 36047.000 1595839
659 10 29203.600 1595849
660 3 36688.000 1595852
661 7 33168.700 1595859
662 9 21519.700 1595868
663 2 23860.000 1595870
664 7 31034.300 1595877
665 11 32792.400 1595888
666 7 34607.600 1595895
667 5 37229.800 1595900
668 5 31399.200 1595905
669 8 35353.900 1595913
670 3 23831.300 1595916
671 7 33072.100 1595923
672 4 31938.200 1595927
673 5 29887.400 1595932
674 6 30903.200 1595938
675 4 35383.000 1595942
676 7 33975.000 1595949
677 11 27059.600 1595960
678 4 35593.500 1595964
679 6 31852.700 1595970
680 8 25669.800 1595978
681 6 34842.500 1595984
682 3 35114.700 1595987
683 6 30213.200 1595993
684 6 35331.800 1595999
685 5 34846.200 1596004
686 6 29533.700 1596010
687 8 20624.200 1596018
688 5 27869.200 1596023
689 8 28409.400 1596031
690 7 33169.900 1596038
691 4 34501.800 1596042
692 7 30343.600 1596049
693 11 26450.300 1596060
694 7 33421.100 1596067
695 4 34460.500 1596071
696 7 29689.300 1596078
697 10 30904.600 1596088
698 5 29117.000 1596093
699 3 34196.700 1596096
700 4 27271.000 1596100
701 5 28001.800 1596105
702 5 28951.400 1596110
703 3 27952.700 1596113
704 5 30964.200 1596118
705 6 30094.700 1596124
706 7 24863.300 1596131
707 5 27644.200 1596136
708 7 30544.300 1596143
709 4 32146.500 1596147
710 3 33401.300 1596150
711 6 28528.700 1596156
712 4 24734.000 1596160
713 6 20343.800 1596166
714 5 31410.400 1596171
715 2 9932.500 1596173
716 2 33566.000 1596175
717 5 29954.400 1596180
718 4 24281.200 1596184
719 4 18594.500 1596188
720 9 26391.900 1596197
721 9 33156.000 1596206
722 3 34589.000 1596209
723 6 17243.300 1596215
724 5 28245.000 1596220
725 6 22799.700 1596226
726 4 32660.000 1596230
727 5 26932.400 1596235
728 6 28111.200 1596241
729 2 33019.000 1596243
730 5 27100.400 1596248
731 2 32192.000 1596250
732 6 32593.500 1596256
733 3 23689.300 1596259
734 3 22373.700 1596262
735 3 27027.700 1596265
736 4 26265.200 1596269
737 6 30300.800 1596275
738 3 32476.000 1596278
739 2 33002.500 1596280
740 4 27601.500 1596284
741 3 23991.700 1596287
742 7 23450.900 1596294
743 3 29487.000 1596297
744 3 23757.700 1596300
745 4 26182.500 1596304
746 3 32488.700 1596307
747 2 17460.500 1596309
748 3 22401.000 1596312
749 3 11547.300 1596315
750 1 13034.000 1596316
751 3 32372.300 1596319
752 5 18153.400 1596324
753 4 27829.800 1596328
754 5 21999.600 1596333
756 1 31306.000 1596334
757 3 31580.300 1596337
758 1 4188.000 1596338
759 4 22228.800 1596342
760 3 32302.700 1596345
761 2 31242.500 1596347
762 1 32522.000 1596348
763 3 13812.700 1596351
764 2 15207.000 1596353
766 3 23466.000 1596356
767 2 31794.000 1596358
768 1 20770.000 1596359
769 3 16204.300 1596362
770 2 17880.000 1596364
771 5 23941.800 1596369
772 2 30666.000 1596371
773 3 21788.000 1596374
775 8 21829.500 1596382
777 2 20653.500 1596384
779 1 5337.000 1596385
780 3 8387.670 1596388
781 2 27254.500 1596390
782 2 21615.000 1596392
783 2 11534.500 1596394
784 3 14239.000 1596397
785 2 30686.500 1596399
786 2 10441.000 1596401
787 2 31234.000 1596403
788 1 1314.000 1596404
789 1 31038.000 1596405
790 2 18790.000 1596407
791 3 16387.300 1596410
793 2 31515.500 1596412
794 3 18616.300 1596415
795 1 30709.000 1596416
796 3 13954.300 1596419
797 3 20533.000 1596422
798 5 21894.600 1596427
800 1 28871.000 1596428
801 2 30710.500 1596430
802 1 30533.000 1596431
803 2 18847.000 1596433
804 2 13739.500 1596435
805 2 23990.500 1596437
807 4 21567.200 1596441
808 1 31317.000 1596442
809 2 29779.500 1596444
811 1 9488.000 1596445
813 2 22176.500 1596447
814 2 18269.000 1596449
815 2 15225.500 1596451
817 2 29968.500 1596453
818 1 13611.000 1596454
819 4 29636.500 1596458
820 1 29863.000 1596459
821 3 21143.700 1596462
822 2 22746.500 1596464
823 2 25620.000 1596466
824 3 20439.700 1596469
825 1 29354.000 1596470
826 2 20737.000 1596472
827 1 3882.000 1596473
828 1 29574.000 1596474
829 2 20556.500 1596476
830 2 29470.500 1596478
831 4 15367.800 1596482
832 3 16378.700 1596485
833 3 25792.700 1596488
834 1 29235.000 1596489
835 2 27902.500 1596491
836 2 18969.000 1596493
837 3 24463.300 1596496
838 2 25368.000 1596498
840 1 29151.000 1596499
841 3 15618.300 1596502
842 2 29149.000 1596504
844 1 12216.000 1596505
845 1 23656.000 1596506
846 2 28969.000 1596508
847 1 28910.000 1596509
848 1 12254.000 1596510
849 2 28324.500 1596512
851 1 29655.000 1596513
852 2 29036.000 1596515
854 2 7862.500 1596517
855 1 28638.000 1596518
856 3 16930.700 1596521
857 2 25774.000 1596523
859 1 28462.000 1596524
860 1 26382.000 1596525
861 2 26339.500 1596527
862 1 6847.000 1596528
863 2 24306.500 1596530
864 1 28097.000 1596531
865 1 21520.000 1596532
866 2 28388.500 1596534
867 2 14200.000 1596536
869 1 28151.000 1596537
870 1 428.000 1596538
871 2 26325.000 1596540
873 2 28372.500 1596542
875 1 28615.000 1596543
876 2 28447.500 1596545
877 2 28383.000 1596547
878 1 28750.000 1596548
879 1 812.000 1596549
880 1 27824.000 1596550
881 2 28080.000 1596552
883 2 4867.000 1596554
884 4 17329.800 1596558
885 3 27628.700 1596561
886 1 28205.000 1596562
889 1 27536.000 1596563
