,accp4,accp4c,accp4p,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w79.oracleGeneral.bin.zst,0.8557,0.857,0.8583,0.8811,0.853,0.8849,0.8812,0.8923,0.8741,0.8812,0.8776,0.8812,0.8558,0.8818,0.8811,0.8829,0.8626,0.888,0.8565
w41.oracleGeneral.bin.zst,0.0458,0.0459,0.0462,0.0459,0.0403,0.0471,0.0468,0.0545,0.0517,0.0467,0.0503,0.0441,0.0458,0.0457,0.0462,0.0468,0.0469,0.0496,0.045
w72.oracleGeneral.bin.zst,0.0995,0.1,0.1088,0.1073,0.0727,0.1076,0.1183,0.1405,0.129,0.1134,0.1233,0.1128,0.1033,0.1099,0.1069,0.1088,0.1059,0.1197,0.1136
w10.oracleGeneral.bin.zst,0.3115,0.3064,0.3233,0.3346,0.2592,0.3487,0.3439,0.369,0.3482,0.3397,0.3479,0.3333,0.3356,0.3337,0.3374,0.3358,0.3464,0.3577,0.3563
w08.oracleGeneral.bin.zst,0.3491,0.359,0.5582,0.6545,0.3136,0.6953,0.7071,0.586,0.5826,0.6839,0.6531,0.5723,0.46,0.7225,0.6122,0.5879,0.4833,0.5801,0.41
w103.oracleGeneral.bin.zst,0.1312,0.1309,0.1466,0.1475,0.125,0.1509,0.1554,0.1575,0.1632,0.15,0.1575,0.1589,0.1505,0.1546,0.1521,0.1438,0.142,0.1562,0.1452
w58.oracleGeneral.bin.zst,0.1381,0.1417,0.1529,0.1557,0.1283,0.1485,0.1695,0.1801,0.1863,0.156,0.178,0.1601,0.1471,0.1676,0.1555,0.1606,0.1482,0.1759,0.154
w52.oracleGeneral.bin.zst,0.064,0.064,0.0646,0.0646,0.0607,0.0671,0.0754,0.0805,0.0768,0.0642,0.0731,0.0657,0.0659,0.071,0.0661,0.0637,0.0629,0.0788,0.0669
w16.oracleGeneral.bin.zst,0.3548,0.3605,0.5284,0.6195,0.3866,0.6677,0.6698,0.7084,0.5744,0.6595,0.6532,0.5443,0.4608,0.6801,0.5916,0.6009,0.5008,0.5495,0.4779
w40.oracleGeneral.bin.zst,0.0694,0.0697,0.0702,0.0691,0.0501,0.0735,0.0713,0.0775,0.0739,0.0695,0.072,0.0645,0.0706,0.0672,0.0711,0.0696,0.072,0.0716,0.0631
w25.oracleGeneral.bin.zst,0.1407,0.1417,0.1552,0.1497,0.1383,0.1416,0.1429,0.1632,0.1643,0.1414,0.1431,0.1436,0.1769,0.1416,0.1557,0.1412,0.145,0.1547,0.1803
w38.oracleGeneral.bin.zst,0.2598,0.2647,0.4478,0.5348,0.3373,0.5349,0.6104,0.6237,0.5046,0.5653,0.5664,0.4322,0.3767,0.5591,0.533,0.5609,0.4312,0.6045,0.3717
w71.oracleGeneral.bin.zst,0.1071,0.1072,0.1099,0.109,0.0984,0.1159,0.1285,0.1356,0.1346,0.1152,0.1232,0.1119,0.1052,0.1213,0.1103,0.1105,0.1109,0.1295,0.1028
w20.oracleGeneral.bin.zst,0.3927,0.3974,0.3975,0.3888,0.3686,0.3866,0.4442,0.4708,0.4624,0.4114,0.4544,0.4668,0.3738,0.3873,0.3875,0.4238,0.4386,0.4628,0.3839
w93.oracleGeneral.bin.zst,0.3335,0.3352,0.3519,0.3478,0.319,0.3875,0.4296,0.4513,0.4711,0.4198,0.4619,0.4799,0.3584,0.4249,0.3475,0.3988,0.4356,0.4438,0.3467
w15.oracleGeneral.bin.zst,0.4245,0.4384,0.5999,0.7565,0.4491,0.7625,0.7797,0.7854,0.6825,0.7553,0.7776,0.6286,0.5803,0.7768,0.6453,0.6532,0.6506,0.6687,0.5376
w21.oracleGeneral.bin.zst,0.4659,0.4813,0.4876,0.5452,0.4298,0.494,0.7456,0.7447,0.6531,0.636,0.7436,0.5565,0.4614,0.7319,0.5439,0.5757,0.5284,0.6478,0.49
w02.oracleGeneral.bin.zst,0.0073,0.0075,0.0088,0.0091,0.0055,0.009,0.0095,0.0195,0.0145,0.0092,0.0102,0.0087,0.0087,0.0089,0.0087,0.0088,0.009,0.0111,0.0081
w26.oracleGeneral.bin.zst,0.1997,0.201,0.2091,0.217,0.1317,0.2109,0.2153,0.2365,0.2323,0.2099,0.2216,0.2396,0.2086,0.2087,0.208,0.2091,0.2146,0.2203,0.2243
