trace_name fifo-mr fifo-wa flex-mr flex-wa s3fifo-mr s3fifo-wa
w52.oracleGeneral.bin.zst 0.2405 4.5576 0.1465 0.6410 0.1515 0.6640
w53.oracleGeneral.bin.zst 0.6824 1.1926 0.6658 0.1653 0.6817 0.0359
w54.oracleGeneral.bin.zst 0.8597 1.0177 0.8438 0.0975 0.8456 0.0041
w55.oracleGeneral.bin.zst 0.8615 1.1003 0.8559 0.1452 0.8605 0.0550
w56.oracleGeneral.bin.zst 0.1759 3.2927 0.1049 0.6361 0.1069 0.4990
w57.oracleGeneral.bin.zst 0.2074 3.4112 0.1306 0.8244 0.1291 0.6393
w58.oracleGeneral.bin.zst 0.4061 3.6665 0.3547 0.3376 0.3608 0.2527
w59.oracleGeneral.bin.zst 0.6709 7.1340 0.6450 2.1479 0.6496 1.7929
w60.oracleGeneral.bin.zst 0.7847 3.0827 0.6993 0.3318 0.7104 0.2172
w61.oracleGeneral.bin.zst 0.5306 5.8167 0.4942 1.3308 0.4954 0.8863
w62.oracleGeneral.bin.zst 0.8369 1.7095 0.6151 0.1200 0.7208 0.0613
w63.oracleGeneral.bin.zst 0.6601 1.4121 0.6072 0.2156 0.6305 0.1845
w64.oracleGeneral.bin.zst 0.9006 1.0403 0.8884 0.0865 0.8951 0.0049
w66.oracleGeneral.bin.zst 0.4836 44.5936 0.3310 0.3497 0.3767 0.2802
w67.oracleGeneral.bin.zst 0.1793 5.6770 0.1416 0.9203 0.1418 0.6551
w68.oracleGeneral.bin.zst 0.2509 2.2367 0.1582 0.2417 0.1666 0.1506
w69.oracleGeneral.bin.zst 0.4622 2.6580 0.3770 0.4457 0.3816 0.2959
w70.oracleGeneral.bin.zst 0.1702 1.5403 0.1360 0.4277 0.1387 0.2777
w71.oracleGeneral.bin.zst 0.3483 3.6302 0.2296 0.6120 0.2293 0.6392
w72.oracleGeneral.bin.zst 0.2805 4.3932 0.2441 1.0723 0.2413 0.7321
w73.oracleGeneral.bin.zst 0.4109 3.5358 0.3381 1.0013 0.3242 0.7005
w74.oracleGeneral.bin.zst 0.1821 5.9618 0.1623 0.9744 0.1630 0.7305
w75.oracleGeneral.bin.zst 0.1626 1.8336 0.1155 0.3887 0.1162 0.2610
w76.oracleGeneral.bin.zst 0.2502 1.9869 0.2051 0.3965 0.2099 0.3508
w77.oracleGeneral.bin.zst 0.5112 3.3918 0.4512 0.7430 0.4517 0.5863
w78.oracleGeneral.bin.zst 0.3551 1.9670 0.3393 0.4326 0.3390 0.3747
w79.oracleGeneral.bin.zst 0.9176 1.0540 0.8804 0.1018 0.8940 0.0059
w80.oracleGeneral.bin.zst 0.6290 9.3842 0.5576 1.9088 0.5488 1.6271
w81.oracleGeneral.bin.zst 0.6949 5.8758 0.5270 0.0952 0.6258 0.0326
w82.oracleGeneral.bin.zst 0.4155 23.7526 0.3130 0.2655 0.3457 0.2842
w83.oracleGeneral.bin.zst 0.3570 1.9915 0.3447 0.1846 0.3469 0.1085
w84.oracleGeneral.bin.zst 0.3156 1.7590 0.2779 0.4157 0.2779 0.2955
w85.oracleGeneral.bin.zst 0.8189 6.6175 0.7324 0.0909 0.7814 0.0190
w86.oracleGeneral.bin.zst 0.9427 1.0823 0.9307 0.1151 0.9410 0.0246
w87.oracleGeneral.bin.zst 0.7804 1.8297 0.7560 0.5232 0.7665 0.2377
w88.oracleGeneral.bin.zst 0.2547 3.2574 0.2109 0.5644 0.2104 0.3934
w89.oracleGeneral.bin.zst 0.3440 1.3597 0.2775 0.2208 0.3006 0.1322
w90.oracleGeneral.bin.zst 0.4764 6.4830 0.4499 0.4057 0.4536 0.3096
w91.oracleGeneral.bin.zst 0.3799 1.9024 0.3348 0.4368 0.3272 0.2459
w92.oracleGeneral.bin.zst 0.8266 5.8838 0.6860 0.1044 0.8125 0.0048
w93.oracleGeneral.bin.zst 0.8283 3.9063 0.7425 0.1389 0.7804 0.0755
w94.oracleGeneral.bin.zst 0.5483 4.6200 0.4578 0.7347 0.4818 0.5511
w95.oracleGeneral.bin.zst 0.3078 3.0077 0.2501 0.4472 0.2525 0.2995
w96.oracleGeneral.bin.zst 0.4682 2.2050 0.4271 0.6669 0.4180 0.4319
w97.oracleGeneral.bin.zst 0.6869 1.3446 0.6097 0.1313 0.6567 0.0370
w98.oracleGeneral.bin.zst 0.6822 1.3549 0.6011 0.1331 0.6504 0.0384
w99.oracleGeneral.bin.zst 0.6465 5.2915 0.5723 0.1169 0.6251 0.0233
