,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w03.oracleGeneral.bin.zst_84712978,0.6563,0.6529,0.5773,0.652,0.6618,0.6729,0.6727,0.6434,0.6642,0.8507,0.6362,0.674,0.6594,0.6579,0.6604,0.6478,0.665,0.6408,0.6514
w42.oracleGeneral.bin.zst_16894445,0.8151,0.814,0.7639,0.8154,0.8249,0.8323,0.8267,0.8173,0.8239,0.9455,0.821,0.8227,0.8276,0.8245,0.8153,0.8155,0.8205,0.8171,0.8348
w44.oracleGeneral.bin.zst_12116074,0.9189,0.9208,0.8873,0.9186,0.9338,0.9388,0.9347,0.9306,0.934,0.9784,0.93,0.9262,0.935,0.934,0.9218,0.9213,0.9321,0.9245,0.9405
w98.oracleGeneral.bin.zst_3664418,0.7318,0.757,0.685,0.7621,0.7778,0.7907,0.7795,0.7707,0.7782,0.9388,0.7729,0.7645,0.7785,0.7784,0.7374,0.7254,0.7532,0.7236,0.7529
w68.oracleGeneral.bin.zst_8875971,0.6889,0.6938,0.6248,0.7091,0.7709,0.7843,0.7629,0.739,0.7624,0.8211,0.7364,0.6956,0.7799,0.7566,0.6914,0.6888,0.7237,0.7017,0.7201
w27.oracleGeneral.bin.zst_19501541,0.8573,0.8271,0.7127,0.8693,0.8406,0.8463,0.8545,0.8306,0.8419,0.9652,0.8411,0.877,0.8407,0.8383,0.8522,0.8473,0.8618,0.8236,0.8782
w101.oracleGeneral.bin.zst_3587707,0.7288,0.7536,0.6826,0.7589,0.776,0.7889,0.7776,0.7668,0.7769,0.9336,0.7713,0.7606,0.7768,0.7766,0.7341,0.7248,0.7501,0.7233,0.7517
w28.oracleGeneral.bin.zst_19739621,0.8017,0.7994,0.7302,0.7994,0.8087,0.8149,0.8136,0.8039,0.8083,0.8706,0.8065,0.8051,0.8108,0.809,0.8016,0.8029,0.8049,0.8019,0.8228
w23.oracleGeneral.bin.zst_27914470,0.7968,0.8022,0.7138,0.82,0.865,0.8924,0.8752,0.8408,0.8686,0.8806,0.8362,0.802,0.8711,0.868,0.7958,0.7951,0.8361,0.8087,0.7944
w54.oracleGeneral.bin.zst_8832954,0.9027,0.9134,0.8577,0.9188,0.9387,0.9413,0.9356,0.9399,0.9412,0.928,0.928,0.9091,0.9396,0.9338,0.9022,0.8972,0.9014,0.9049,0.8883
w13.oracleGeneral.bin.zst_39822877,0.6867,0.6913,0.5089,0.7346,0.76,0.7536,0.7273,0.7742,0.7724,0.9674,0.6911,0.6515,0.7647,0.7569,0.6828,0.6837,0.8412,0.7054,0.6994
w22.oracleGeneral.bin.zst_22248591,0.8882,0.8895,0.8741,0.8904,0.8957,0.9002,0.8975,0.8935,0.8953,0.9139,0.8954,0.8903,0.896,0.8954,0.8885,0.8893,0.8935,0.8893,0.8938
w51.oracleGeneral.bin.zst_9551283,0.4735,0.4793,0.4261,0.481,0.4915,0.5049,0.4959,0.4871,0.4942,0.5297,0.4877,0.481,0.4928,0.4905,0.4761,0.4695,0.4938,0.4751,0.4709
w84.oracleGeneral.bin.zst_4814234,0.4674,0.4632,0.4145,0.4864,0.591,0.6236,0.5608,0.5603,0.5976,0.7162,0.5245,0.4743,0.5961,0.5897,0.4646,0.4636,0.5919,0.4904,0.5049
w37.oracleGeneral.bin.zst_18840688,0.8553,0.8457,0.7493,0.8341,0.838,0.8421,0.847,0.8363,0.8389,0.9558,0.8351,0.9241,0.8398,0.8371,0.8571,0.8522,0.8344,0.8359,0.9236
w87.oracleGeneral.bin.zst_3788806,0.8635,0.8385,0.791,0.8487,0.8466,0.8449,0.8569,0.8476,0.85,0.9601,0.8523,0.9067,0.8446,0.8433,0.8642,0.8639,0.8619,0.8589,0.916
w34.oracleGeneral.bin.zst_19553551,0.8632,0.8502,0.7231,0.8676,0.8794,0.8782,0.8779,0.8794,0.8771,0.9768,0.8782,0.8837,0.8795,0.8756,0.8647,0.8554,0.9048,0.8655,0.8743
w66.oracleGeneral.bin.zst_9169631,0.6595,0.6671,0.5722,0.6589,0.7166,0.7427,0.6964,0.6667,0.7067,0.7077,0.6936,0.6652,0.7267,0.6977,0.6587,0.6509,0.6721,0.6636,0.6493
w06.oracleGeneral.bin.zst_69392150,0.4129,0.4422,0.3275,0.4434,0.4642,0.48,0.4729,0.4323,0.4727,0.9005,0.4003,0.4466,0.4513,0.4491,0.4239,0.3871,0.4506,0.3862,0.3818
w91.oracleGeneral.bin.zst_4316605,0.7532,0.7491,0.6624,0.7541,0.768,0.7755,0.7613,0.765,0.767,0.7725,0.76,0.75,0.7703,0.7688,0.7529,0.7534,0.7566,0.7545,0.7605
w79.oracleGeneral.bin.zst_5411394,0.9678,0.9746,0.9069,0.9711,0.9915,0.9922,0.9885,0.9905,0.9909,0.9838,0.9899,0.9762,0.9917,0.9917,0.9605,0.9589,0.9922,0.9737,0.9553
w41.oracleGeneral.bin.zst_17004738,0.1403,0.1408,0.1264,0.1408,0.1439,0.1608,0.1489,0.1416,0.1507,0.2763,0.1433,0.1451,0.1442,0.1436,0.1405,0.1406,0.1431,0.1406,0.1507
w72.oracleGeneral.bin.zst_6407185,0.4591,0.4576,0.3874,0.4628,0.4738,0.4924,0.4774,0.4691,0.4733,0.6709,0.4702,0.4684,0.4749,0.4731,0.4606,0.461,0.4743,0.4635,0.4987
w10.oracleGeneral.bin.zst_48342350,0.7345,0.7292,0.6448,0.7308,0.7457,0.7634,0.7556,0.7342,0.7462,0.9022,0.7303,0.8096,0.7471,0.7381,0.7326,0.7395,0.7385,0.7297,0.8164
w08.oracleGeneral.bin.zst_44464937,0.9524,0.953,0.8948,0.955,0.9648,0.9686,0.967,0.9617,0.966,0.9632,0.9604,0.9562,0.9661,0.9651,0.9519,0.9516,0.9533,0.9538,0.9553
w103.oracleGeneral.bin.zst_3442094,0.3631,0.3612,0.325,0.3628,0.3805,0.4038,0.3872,0.3763,0.3819,0.7834,0.3736,0.381,0.3809,0.3771,0.3632,0.3658,0.3685,0.3675,0.4226
w58.oracleGeneral.bin.zst_10530695,0.5403,0.5382,0.4769,0.5406,0.5554,0.5802,0.5675,0.5533,0.5614,0.7916,0.5509,0.5497,0.5578,0.5512,0.5427,0.5433,0.5597,0.5414,0.5576
w52.oracleGeneral.bin.zst_11451546,0.4962,0.496,0.4545,0.5032,0.5185,0.5312,0.517,0.5082,0.5146,0.6179,0.5093,0.4982,0.5211,0.5146,0.4954,0.4948,0.5,0.4992,0.5065
w16.oracleGeneral.bin.zst_26702188,0.8069,0.8102,0.7781,0.8137,0.8359,0.8488,0.8417,0.8217,0.835,0.8391,0.8241,0.8105,0.8395,0.8309,0.8077,0.8077,0.8163,0.8087,0.8087
