,flex-0.10-0.05-1.00,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w101.oracleGeneral.bin.zst_3587707,0.5914,0.614,0.4891,0.6241,0.6128,0.6361,0.6558,0.6218,0.6296,0.6079,0.6306,0.6279,0.6069,0.5892,0.6418,0.6411,0.6073,0.6127,0.6217,0.6224,0.5862
w28.oracleGeneral.bin.zst_19739621,0.3603,0.3521,0.3011,0.3576,0.3431,0.3687,0.4023,0.4105,0.3658,0.4071,0.3757,0.4466,0.4,0.3827,0.3761,0.3531,0.363,0.3714,0.36,0.3989,0.4256
w23.oracleGeneral.bin.zst_27914470,0.325,0.3276,0.2129,0.3249,0.3427,0.3566,0.4265,0.3777,0.3263,0.3853,0.3617,0.3403,0.3435,0.3373,0.3697,0.3595,0.3177,0.3167,0.3199,0.3275,0.3319
w54.oracleGeneral.bin.zst_8832954,0.8426,0.8417,0.8314,0.8417,0.8413,0.8437,0.853,0.8453,0.8418,0.8417,0.8409,0.8417,0.8401,0.8433,0.8452,0.8445,0.8407,0.8411,0.8431,0.8447,0.8433
w13.oracleGeneral.bin.zst_39822877,0.2144,0.2248,0.1575,0.224,0.2323,0.221,0.2359,0.2343,0.2273,0.2302,0.2291,0.2673,0.2251,0.2252,0.233,0.2094,0.217,0.2211,0.2121,0.2411,0.2168
w22.oracleGeneral.bin.zst_22248591,0.7263,0.8667,0.6873,0.8667,0.8665,0.875,0.8799,0.8586,0.8729,0.8165,0.8732,0.8667,0.7954,0.7054,0.8777,0.8771,0.8647,0.8682,0.7551,0.8742,0.7146
w51.oracleGeneral.bin.zst_9551283,0.1846,0.185,0.1819,0.185,0.1873,0.207,0.2094,0.2196,0.1972,0.2098,0.2051,0.1851,0.2075,0.1872,0.2074,0.1998,0.1849,0.1869,0.1898,0.2082,0.1896
w84.oracleGeneral.bin.zst_4814234,0.2324,0.2274,0.1654,0.2288,0.2434,0.2606,0.278,0.2656,0.2504,0.2518,0.2632,0.353,0.2409,0.2306,0.2612,0.2587,0.2335,0.2305,0.256,0.236,0.2148
w37.oracleGeneral.bin.zst_18840688,0.3753,0.4045,0.3122,0.3931,0.4246,0.4666,0.5124,0.4702,0.4267,0.4062,0.4553,0.4145,0.419,0.3671,0.4885,0.4744,0.395,0.395,0.3829,0.4187,0.3605
w87.oracleGeneral.bin.zst_3788806,0.6476,0.6596,0.5776,0.6615,0.6625,0.6874,0.716,0.692,0.6742,0.6881,0.6801,0.6626,0.6869,0.645,0.7057,0.6989,0.6579,0.6729,0.659,0.6952,0.6521
w34.oracleGeneral.bin.zst_19553551,0.3354,0.3472,0.2676,0.3353,0.3429,0.3471,0.3859,0.3698,0.3495,0.3754,0.3567,0.4197,0.362,0.364,0.3579,0.3463,0.3328,0.348,0.3427,0.3528,0.393
w66.oracleGeneral.bin.zst_9169631,0.2937,0.4294,0.1402,0.4055,0.4618,0.4371,0.4745,0.2941,0.4072,0.2791,0.4015,0.4454,0.2538,0.1973,0.4636,0.4423,0.3301,0.3271,0.2829,0.3444,0.2039
w06.oracleGeneral.bin.zst_69392150,0.0296,0.029,0.0248,0.0288,0.0286,0.0306,0.038,0.0383,0.0306,0.0354,0.0377,0.0771,0.0312,0.0305,0.0304,0.0305,0.0291,0.0294,0.0294,0.0334,0.0352
w91.oracleGeneral.bin.zst_4316605,0.3176,0.3275,0.2121,0.3213,0.3382,0.3623,0.3763,0.3596,0.3316,0.3552,0.3439,0.3108,0.3304,0.3034,0.3637,0.3613,0.3161,0.3175,0.3065,0.3303,0.2971
w79.oracleGeneral.bin.zst_5411394,0.8706,0.8856,0.853,0.8857,0.8865,0.887,0.904,0.8882,0.8865,0.8825,0.8861,0.8857,0.887,0.87,0.8878,0.8877,0.8852,0.8865,0.874,0.8915,0.8703
w41.oracleGeneral.bin.zst_17004738,0.0582,0.0591,0.0416,0.057,0.0686,0.0642,0.0755,0.0698,0.0637,0.0625,0.0672,0.131,0.054,0.057,0.0616,0.0612,0.0581,0.0562,0.0653,0.0552,0.0502
w72.oracleGeneral.bin.zst_6407185,0.1814,0.1738,0.1083,0.1729,0.2004,0.2037,0.2277,0.2088,0.186,0.1896,0.202,0.2665,0.1817,0.1655,0.2153,0.1924,0.176,0.1739,0.1745,0.1717,0.1663
w10.oracleGeneral.bin.zst_48342350,0.4517,0.4547,0.3018,0.455,0.4778,0.4929,0.4875,0.4756,0.4796,0.4857,0.4818,0.5177,0.475,0.4426,0.4993,0.4941,0.4522,0.464,0.4609,0.4829,0.4618
w08.oracleGeneral.bin.zst_44464937,0.659,0.7415,0.5516,0.7419,0.7331,0.8149,0.8363,0.7809,0.7969,0.7222,0.8035,0.7588,0.746,0.6532,0.8224,0.8211,0.7277,0.7441,0.6861,0.7784,0.6569
w103.oracleGeneral.bin.zst_3442094,0.1985,0.2012,0.1417,0.1972,0.1958,0.2003,0.2051,0.2079,0.2029,0.2031,0.2066,0.2536,0.2037,0.1953,0.1987,0.1937,0.1941,0.196,0.1932,0.1994,0.1939
w58.oracleGeneral.bin.zst_10530695,0.2226,0.2256,0.1567,0.2245,0.25,0.261,0.2586,0.2642,0.2316,0.2764,0.2613,0.2608,0.2323,0.2244,0.2585,0.2576,0.2173,0.2299,0.2245,0.2453,0.2191
w52.oracleGeneral.bin.zst_11451546,0.092,0.1016,0.0684,0.1013,0.1076,0.1073,0.1471,0.1253,0.0965,0.1106,0.1116,0.1046,0.0966,0.0873,0.1138,0.1054,0.0948,0.0949,0.097,0.1079,0.0871
w16.oracleGeneral.bin.zst_26702188,0.6177,0.6766,0.5348,0.6823,0.6737,0.7301,0.7457,0.7123,0.7248,0.6841,0.7255,0.6866,0.6813,0.6132,0.7397,0.7365,0.6592,0.693,0.6486,0.7069,0.6319
w40.oracleGeneral.bin.zst_17657232,0.0835,0.087,0.0601,0.0851,0.0855,0.0902,0.0974,0.095,0.0862,0.0887,0.0902,0.1918,0.0759,0.0858,0.0835,0.0835,0.0849,0.0819,0.0889,0.0822,0.075
w25.oracleGeneral.bin.zst_26569398,0.1835,0.1695,0.1383,0.1641,0.1581,0.1549,0.2137,0.2155,0.1521,0.1903,0.1539,0.2027,0.1642,0.1958,0.1592,0.1552,0.1813,0.1627,0.1932,0.1607,0.1986
w38.oracleGeneral.bin.zst_18535323,0.5232,0.5446,0.4707,0.5453,0.5961,0.6359,0.6447,0.6229,0.619,0.6022,0.6315,0.5559,0.5596,0.5229,0.6391,0.6329,0.5429,0.5665,0.5423,0.6122,0.5274
w71.oracleGeneral.bin.zst_6840776,0.1534,0.1679,0.1233,0.1682,0.1781,0.1815,0.234,0.2136,0.1641,0.1858,0.1833,0.1621,0.166,0.1572,0.1839,0.1735,0.1562,0.1544,0.1656,0.1716,0.1553
w20.oracleGeneral.bin.zst_29842317,0.5149,0.5802,0.379,0.5947,0.5783,0.6215,0.6177,0.5694,0.6159,0.5562,0.6049,0.6167,0.5396,0.4547,0.6164,0.6161,0.5311,0.5154,0.5397,0.5335,0.4638
w93.oracleGeneral.bin.zst_3351357,0.5759,0.6269,0.452,0.627,0.7135,0.7001,0.757,0.6564,0.6906,0.68,0.7232,0.637,0.661,0.5255,0.7452,0.704,0.6067,0.6197,0.5948,0.6169,0.5215
w15.oracleGeneral.bin.zst_33628757,0.8038,0.8218,0.6741,0.811,0.8628,0.8774,0.884,0.8765,0.8763,0.8437,0.8819,0.8133,0.8154,0.7867,0.8753,0.8746,0.787,0.7933,0.795,0.8295,0.7521
