 accp4 accp4c accp4p
354 0.200 0.999 0.991
355 0.200 0.999 0.991
356 0.200 0.999 0.991
357 0.201 0.999 0.991
358 0.201 0.999 0.991
359 0.202 0.999 0.991
360 0.202 0.999 0.991
361 0.202 0.999 0.991
362 0.202 0.999 0.991
363 0.202 0.999 0.991
364 0.202 0.999 0.991
365 0.202 0.999 0.991
366 0.203 0.999 0.991
367 0.203 0.999 0.991
368 0.203 0.999 0.991
369 0.203 0.999 0.991
370 0.203 0.999 0.991
371 0.203 0.999 0.992
372 0.203 0.999 0.992
373 0.203 0.999 0.992
374 0.204 0.999 0.992
375 0.204 0.999 0.992
376 0.204 0.999 0.992
377 0.204 0.999 0.992
378 0.204 0.999 0.992
379 0.204 0.999 0.992
380 0.205 0.999 0.992
381 0.205 0.999 0.992
382 0.205 0.999 0.992
383 0.206 0.999 0.992
384 0.206 0.999 0.992
385 0.206 0.999 0.992
386 0.206 0.999 0.992
387 0.206 0.999 0.992
388 0.207 0.999 0.992
389 0.207 0.999 0.992
390 0.207 0.999 0.992
391 0.207 0.999 0.992
392 0.207 0.999 0.992
393 0.208 0.999 0.992
394 0.208 0.999 0.993
395 0.208 0.999 0.993
396 0.208 0.999 0.993
397 0.210 0.999 0.993
398 0.211 0.999 0.993
399 0.211 0.999 0.993
400 0.211 0.999 0.993
401 0.212 1.000 0.993
402 0.212 1.000 0.993
403 0.212 1.000 0.993
404 0.213 1.000 0.993
405 0.213 1.000 0.993
406 0.213 1.000 0.993
407 0.213 1.000 0.993
408 0.213 1.000 0.993
409 0.213 1.000 0.993
410 0.214 1.000 0.993
411 0.214 1.000 0.993
412 0.214 1.000 0.993
413 0.214 1.000 0.993
414 0.214 1.000 0.993
415 0.215 1.000 0.993
416 0.215 1.000 0.993
417 0.215 1.000 0.993
418 0.215 1.000 0.994
419 0.215 1.000 0.994
420 0.216 1.000 0.994
421 0.216 1.000 0.994
422 0.216 1.000 0.994
423 0.216 1.000 0.994
424 0.216 1.000 0.994
425 0.216 1.000 0.994
426 0.217 1.000 0.994
427 0.217 1.000 0.994
428 0.217 1.000 0.994
429 0.218 1.000 0.994
430 0.218 1.000 0.994
431 0.218 1.000 0.994
432 0.219 1.000 0.994
433 0.219 1.000 0.994
434 0.219 1.000 0.994
435 0.219 1.000 0.994
436 0.219 1.000 0.994
437 0.219 1.000 0.994
438 0.220 1.000 0.994
439 0.221 1.000 0.994
440 0.221 1.000 0.994
441 0.221 1.000 0.994
442 0.221 1.000 0.994
443 0.221 1.000 0.994
444 0.222 1.000 0.994
445 0.222 1.000 0.994
446 0.223 1.000 0.994
447 0.223 1.000 0.994
448 0.223 1.000 0.994
449 0.224 1.000 0.994
450 0.224 1.000 0.995
451 0.224 1.000 0.995
452 0.225 1.000 0.995
453 0.226 1.000 0.995
454 0.227 1.000 0.995
455 0.227 1.000 0.995
456 0.227 1.000 0.995
457 0.227 1.000 0.995
458 0.227 1.000 0.995
459 0.227 1.000 0.995
460 0.227 1.000 0.995
461 0.228 1.000 0.995
462 0.228 1.000 0.995
463 0.228 1.000 0.995
464 0.229 1.000 0.995
465 0.229 1.000 0.995
466 0.229 1.000 0.995
467 0.229 1.000 0.995
468 0.229 1.000 0.995
469 0.230 1.000 0.995
470 0.230 1.000 0.995
471 0.230 1.000 0.995
472 0.230 1.000 0.995
473 0.230 1.000 0.995
474 0.230 1.000 0.995
475 0.232 1.000 0.995
476 0.232 1.000 0.995
477 0.232 1.000 0.995
478 0.232 1.000 0.995
479 0.233 1.000 0.995
480 0.233 1.000 0.995
481 0.233 1.000 0.995
482 0.233 1.000 0.995
483 0.233 1.000 0.995
484 0.234 1.000 0.995
485 0.234 1.000 0.995
486 0.234 1.000 0.995
487 0.234 1.000 0.995
488 0.234 1.000 0.995
489 0.234 1.000 0.996
490 0.235 1.000 0.996
491 0.235 1.000 0.996
492 0.235 1.000 0.996
493 0.235 1.000 0.996
494 0.235 1.000 0.996
495 0.235 1.000 0.996
496 0.235 1.000 0.996
497 0.235 1.000 0.996
498 0.236 1.000 0.996
499 0.236 1.000 0.996
500 0.236 1.000 0.996
501 0.236 1.000 0.996
502 0.236 1.000 0.996
503 0.236 1.000 0.996
504 0.236 1.000 0.996
505 0.236 1.000 0.996
506 0.237 1.000 0.996
507 0.237 1.000 0.996
508 0.237 1.000 0.996
509 0.237 1.000 0.996
510 0.237 1.000 0.996
511 0.237 1.000 0.996
512 0.237 1.000 0.996
513 0.237 1.000 0.996
514 0.238 1.000 0.996
515 0.238 1.000 0.996
516 0.238 1.000 0.996
517 0.238 1.000 0.996
518 0.238 1.000 0.996
519 0.238 1.000 0.996
520 0.238 1.000 0.996
521 0.238 1.000 0.996
522 0.238 1.000 0.996
523 0.239 1.000 0.996
524 0.239 1.000 0.996
525 0.239 1.000 0.996
526 0.239 1.000 0.996
527 0.239 1.000 0.996
528 0.239 1.000 0.996
529 0.240 1.000 0.996
530 0.240 1.000 0.996
531 0.240 1.000 0.996
532 0.240 1.000 0.996
533 0.241 1.000 0.996
534 0.241 1.000 0.996
535 0.241 1.000 0.996
536 0.241 1.000 0.996
537 0.241 1.000 0.996
538 0.241 1.000 0.996
539 0.241 1.000 0.997
