 accp4 accp4c accp4p
323 0.398 1.001 0.999
324 0.400 1.001 0.999
325 0.400 1.001 0.999
326 0.400 1.001 0.999
327 0.406 1.001 0.999
328 0.406 1.001 0.999
329 0.408 1.001 0.999
330 0.409 1.001 0.999
331 0.410 1.001 0.999
332 0.413 1.001 0.999
333 0.415 1.001 0.999
334 0.416 1.001 0.999
335 0.418 1.001 0.999
336 0.419 1.001 0.999
337 0.420 1.001 1.000
338 0.420 1.001 1.000
339 0.421 1.001 1.000
340 0.421 1.001 1.000
341 0.422 1.001 1.000
342 0.422 1.001 1.000
343 0.422 1.001 1.000
344 0.423 1.001 1.000
345 0.423 1.001 1.000
346 0.423 1.001 1.000
347 0.424 1.001 1.000
348 0.424 1.001 1.000
349 0.424 1.001 1.000
350 0.424 1.001 1.000
351 0.424 1.001 1.000
352 0.425 1.001 1.000
353 0.426 1.001 1.000
354 0.427 1.001 1.000
355 0.427 1.001 1.000
356 0.428 1.001 1.000
357 0.428 1.001 1.000
358 0.428 1.001 1.000
359 0.428 1.001 1.000
360 0.428 1.001 1.000
361 0.429 1.001 1.000
362 0.430 1.001 1.000
363 0.430 1.001 1.000
364 0.430 1.001 1.000
365 0.430 1.001 1.000
366 0.431 1.001 1.000
367 0.431 1.001 1.000
368 0.431 1.001 1.000
369 0.431 1.001 1.000
370 0.431 1.001 1.000
371 0.431 1.001 1.000
372 0.431 1.001 1.000
373 0.432 1.001 1.000
374 0.432 1.001 1.000
375 0.433 1.001 1.000
376 0.434 1.001 1.000
377 0.434 1.001 1.000
378 0.434 1.001 1.000
379 0.434 1.001 1.000
380 0.435 1.001 1.000
381 0.435 1.001 1.000
382 0.435 1.001 1.000
383 0.435 1.001 1.000
384 0.436 1.001 1.000
385 0.437 1.001 1.000
386 0.437 1.001 1.000
387 0.437 1.001 1.000
388 0.437 1.001 1.000
389 0.438 1.001 1.000
390 0.438 1.001 1.000
391 0.439 1.001 1.000
392 0.439 1.001 1.000
393 0.440 1.001 1.000
394 0.440 1.001 1.000
395 0.442 1.001 1.000
396 0.442 1.001 1.000
397 0.445 1.001 1.001
398 0.447 1.001 1.001
399 0.447 1.001 1.001
400 0.448 1.001 1.001
401 0.448 1.001 1.001
402 0.450 1.001 1.001
403 0.452 1.002 1.001
404 0.452 1.002 1.001
405 0.452 1.002 1.001
406 0.454 1.002 1.001
407 0.461 1.002 1.001
408 0.463 1.002 1.001
409 0.463 1.002 1.001
410 0.464 1.002 1.001
411 0.465 1.002 1.001
412 0.467 1.002 1.001
413 0.468 1.002 1.001
414 0.468 1.002 1.001
415 0.469 1.002 1.001
416 0.475 1.002 1.001
417 0.476 1.002 1.001
418 0.478 1.002 1.001
419 0.481 1.002 1.001
420 0.482 1.002 1.001
421 0.487 1.002 1.001
422 0.488 1.002 1.001
423 0.488 1.002 1.001
424 0.490 1.002 1.001
