,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w106.oracleGeneral.bin.zst_3275919,0.2204,0.2348,0.171,0.2341,0.2347,0.2695,0.2627,0.2474,0.2437,0.3209,0.2258,0.2379,0.2205,0.2197,0.2515,0.2189,0.2148
w17.oracleGeneral.bin.zst_31398089,0.1999,0.2086,0.149,0.2028,0.2134,0.2273,0.2205,0.2241,0.2129,0.2716,0.2136,0.2095,0.194,0.2005,0.1978,0.2082,0.2214
w88.oracleGeneral.bin.zst_4711053,0.2962,0.3119,0.2131,0.3169,0.34,0.363,0.3519,0.4279,0.3377,0.4527,0.3006,0.3163,0.2927,0.2942,0.3038,0.3028,0.2984
w85.oracleGeneral.bin.zst_4790048,0.8807,0.9428,0.8695,0.9443,0.9607,0.9612,0.9655,0.9443,0.9629,0.9227,0.8733,0.9585,0.9427,0.9533,0.8994,0.9604,0.8911
w80.oracleGeneral.bin.zst_5256246,0.5431,0.5478,0.3926,0.5785,0.5827,0.6174,0.6379,0.6286,0.5842,0.7315,0.5872,0.5932,0.5338,0.5365,0.5409,0.5781,0.4829
w65.oracleGeneral.bin.zst_9316229,0.9037,0.98,0.8834,0.9799,0.9883,0.9889,0.9884,0.9831,0.9882,0.9364,0.8975,0.9884,0.9749,0.9799,0.9229,0.9864,0.9037
w31.oracleGeneral.bin.zst_21166982,0.7719,0.9603,0.6707,0.9613,0.9702,0.9716,0.9169,0.9582,0.9651,0.8576,0.7577,0.9708,0.9596,0.965,0.8169,0.9695,0.7552
w46.oracleGeneral.bin.zst_11550125,0.708,0.6878,0.5779,0.6588,0.644,0.6681,0.6828,0.6793,0.6478,0.7472,0.7158,0.6394,0.6806,0.6523,0.7005,0.6511,0.7561
w76.oracleGeneral.bin.zst_6076272,0.3093,0.318,0.2232,0.3177,0.3374,0.3883,0.4736,0.4359,0.3714,0.4519,0.3078,0.3237,0.3048,0.308,0.3121,0.3157,0.3092
w100.oracleGeneral.bin.zst_3645877,0.7987,0.8217,0.6853,0.8215,0.8613,0.8769,0.8358,0.8579,0.8628,0.8701,0.7974,0.8543,0.8169,0.834,0.8335,0.8504,0.7967
