,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w40.oracleGeneral.bin.zst_17657232,0.1605,0.1779,0.1495,0.1621,0.1672,0.1787,0.1645,0.1607,0.168,0.2437,0.1597,0.1854,0.1661,0.1653,0.1608,0.161,0.1612,0.1617,0.2266
w25.oracleGeneral.bin.zst_26569398,0.9246,0.9543,0.8832,0.9383,0.9592,0.9606,0.956,0.9285,0.9595,0.9397,0.8798,0.9224,0.9604,0.9576,0.9265,0.9272,0.9031,0.9361,0.9217
w38.oracleGeneral.bin.zst_18535323,0.7233,0.7499,0.6744,0.7186,0.7278,0.7467,0.7283,0.6988,0.73,0.9219,0.7062,0.7473,0.7317,0.7253,0.725,0.7328,0.719,0.7262,0.7821
w71.oracleGeneral.bin.zst_6840776,0.5546,0.565,0.5194,0.5642,0.5875,0.5988,0.5735,0.5474,0.5842,0.5772,0.5514,0.557,0.5903,0.571,0.5549,0.5545,0.5547,0.5617,0.5553
w20.oracleGeneral.bin.zst_29842317,0.7173,0.7239,0.6608,0.7392,0.7569,0.76,0.7483,0.7079,0.7552,0.7708,0.7072,0.719,0.7572,0.753,0.7171,0.7052,0.7144,0.7186,0.7108
w93.oracleGeneral.bin.zst_3351357,0.8636,0.8698,0.8319,0.8635,0.8686,0.87,0.8663,0.8565,0.8709,0.8685,0.8497,0.8665,0.869,0.8682,0.8637,0.8636,0.8618,0.8626,0.8635
w15.oracleGeneral.bin.zst_33628757,0.9892,0.9934,0.9642,0.9921,0.9936,0.9939,0.9913,0.9914,0.9933,0.9943,0.9914,0.9899,0.9937,0.9935,0.9921,0.9908,0.9852,0.9911,0.9802
w21.oracleGeneral.bin.zst_29416348,0.9174,0.9186,0.8999,0.9177,0.9253,0.9271,0.9233,0.9153,0.9247,0.9196,0.9141,0.9098,0.9258,0.9242,0.9165,0.9154,0.9084,0.9186,0.9097
w02.oracleGeneral.bin.zst_122181000,0.9291,0.9461,0.9628,0.9527,0.9904,0.9907,0.9881,0.9791,0.9905,0.9659,0.8239,0.907,0.9905,0.9895,0.9471,0.9517,0.9138,0.9608,0.9336
w26.oracleGeneral.bin.zst_26532121,0.5239,0.5362,0.4684,0.5332,0.5485,0.5619,0.5397,0.5151,0.5551,0.66,0.4988,0.5315,0.5475,0.5427,0.5278,0.5231,0.5281,0.514,0.5122
w64.oracleGeneral.bin.zst_7458266,0.9058,0.9084,0.8932,0.9083,0.9113,0.915,0.9126,0.9075,0.9113,0.9333,0.9095,0.9068,0.9126,0.9102,0.9056,0.9051,0.9056,0.9085,0.9096
w39.oracleGeneral.bin.zst_17920022,0.1325,0.1402,0.1236,0.1335,0.1364,0.1478,0.1361,0.133,0.1388,0.1778,0.1321,0.138,0.1368,0.1359,0.1328,0.1335,0.134,0.1337,0.1491
w32.oracleGeneral.bin.zst_20776392,0.751,0.7646,0.7074,0.7496,0.7564,0.7587,0.7519,0.7359,0.7569,0.7944,0.74,0.766,0.7571,0.7546,0.753,0.7525,0.7457,0.7476,0.7614
w24.oracleGeneral.bin.zst_27165370,0.6128,0.6224,0.5456,0.6126,0.6302,0.6533,0.6162,0.5847,0.6271,0.8501,0.5912,0.615,0.6337,0.6227,0.6128,0.6141,0.5969,0.6135,0.614
w59.oracleGeneral.bin.zst_10223136,0.9489,0.9629,0.8634,0.9518,0.9657,0.9711,0.9586,0.9591,0.9661,0.9962,0.9584,0.9415,0.9673,0.9626,0.9494,0.9501,0.9462,0.9547,0.9528
w106.oracleGeneral.bin.zst_3275919,0.3307,0.3505,0.2879,0.3461,0.3589,0.3901,0.3432,0.3228,0.3641,0.3919,0.3217,0.3328,0.3638,0.3463,0.3332,0.3361,0.3266,0.3406,0.3339
w17.oracleGeneral.bin.zst_31398089,0.5828,0.6515,0.4277,0.6357,0.699,0.6959,0.5479,0.5027,0.7054,0.8505,0.4381,0.587,0.6981,0.6789,0.6063,0.5976,0.5407,0.6036,0.5377
w88.oracleGeneral.bin.zst_4711053,0.3895,0.4014,0.3391,0.3975,0.4148,0.4333,0.395,0.3724,0.4165,0.4796,0.3706,0.3837,0.4167,0.4041,0.3902,0.391,0.388,0.3926,0.3864
w85.oracleGeneral.bin.zst_4790048,0.8332,0.8358,0.8053,0.8407,0.8801,0.8822,0.8725,0.8472,0.8796,0.8729,0.8413,0.8375,0.881,0.8735,0.8283,0.8258,0.8399,0.8334,0.8277
w80.oracleGeneral.bin.zst_5256246,0.8196,0.8218,0.7682,0.8239,0.8536,0.8632,0.8303,0.8161,0.8526,0.8581,0.8112,0.8204,0.8574,0.8448,0.8234,0.8244,0.8209,0.8269,0.824
w65.oracleGeneral.bin.zst_9316229,0.9809,0.9816,0.9702,0.9836,0.9873,0.9878,0.9862,0.9836,0.9874,0.985,0.9847,0.9825,0.9875,0.9873,0.9814,0.9824,0.9821,0.9838,0.9809
w31.oracleGeneral.bin.zst_21166982,0.8991,0.9041,0.8535,0.9006,0.9254,0.9276,0.9179,0.8996,0.9241,0.9163,0.9023,0.8966,0.9264,0.9182,0.8958,0.9022,0.8953,0.9124,0.9101
w46.oracleGeneral.bin.zst_11550125,0.5884,0.592,0.5457,0.5932,0.6176,0.6239,0.6066,0.5761,0.6163,0.6267,0.5932,0.5854,0.6193,0.6125,0.5891,0.5906,0.5912,0.5955,0.6
w76.oracleGeneral.bin.zst_6076272,0.3891,0.4002,0.3456,0.3962,0.4119,0.4379,0.4005,0.3731,0.4154,0.4375,0.3799,0.3936,0.4125,0.4057,0.3924,0.3883,0.397,0.3891,0.394
w100.oracleGeneral.bin.zst_3645877,0.7101,0.7466,0.6744,0.7178,0.7716,0.7866,0.7232,0.7061,0.7715,0.8056,0.716,0.7241,0.7738,0.7533,0.7115,0.711,0.713,0.7145,0.7202
w14.oracleGeneral.bin.zst_34816425,0.5863,0.6012,0.5026,0.5874,0.6013,0.6134,0.5959,0.5422,0.6051,0.675,0.5572,0.5872,0.6018,0.5993,0.5885,0.5885,0.5795,0.5772,0.5628
w62.oracleGeneral.bin.zst_9497745,0.9329,0.9313,0.9043,0.9323,0.9342,0.9364,0.9353,0.9289,0.9355,0.9376,0.932,0.9312,0.9345,0.9332,0.9323,0.9333,0.9315,0.9333,0.9306
w33.oracleGeneral.bin.zst_19868346,0.2014,0.2245,0.1873,0.2018,0.2124,0.2307,0.2065,0.2001,0.2098,0.3813,0.1999,0.2484,0.2141,0.2132,0.2018,0.2027,0.2021,0.2036,0.3274
w67.oracleGeneral.bin.zst_9028144,0.2189,0.2265,0.2079,0.2247,0.2389,0.2783,0.2303,0.2057,0.2373,0.2278,0.2239,0.2223,0.2429,0.2275,0.2216,0.2186,0.2199,0.2187,0.2195
w49.oracleGeneral.bin.zst_11151558,0.6849,0.7042,0.6379,0.6877,0.6967,0.7062,0.6865,0.662,0.6954,0.7102,0.6758,0.6987,0.6978,0.6938,0.686,0.6823,0.6812,0.684,0.6907
w55.oracleGeneral.bin.zst_8855434,0.8735,0.8908,0.8643,0.8739,0.876,0.8772,0.875,0.8703,0.876,0.8979,0.8721,0.8755,0.876,0.8749,0.8738,0.8737,0.8744,0.8728,0.8767
w73.oracleGeneral.bin.zst_6368815,0.6803,0.6999,0.6368,0.6942,0.7181,0.7318,0.7046,0.6912,0.7139,0.7029,0.6895,0.6817,0.7212,0.7052,0.6824,0.6813,0.6784,0.6853,0.681
w89.oracleGeneral.bin.zst_3625918,0.4495,0.4521,0.4117,0.4521,0.4563,0.4598,0.4501,0.4287,0.4607,0.4968,0.4371,0.4513,0.458,0.4531,0.4485,0.4498,0.4528,0.4474,0.4546
w09.oracleGeneral.bin.zst_49622929,0.5552,0.6045,0.508,0.5644,0.5775,0.5943,0.5721,0.5281,0.5754,0.7122,0.5414,0.5835,0.5804,0.5648,0.5574,0.5597,0.5576,0.5558,0.5667
w45.oracleGeneral.bin.zst_15064629,0.1751,0.1831,0.1658,0.1771,0.1793,0.2119,0.1777,0.1703,0.1806,0.2004,0.1713,0.179,0.1815,0.1778,0.175,0.1756,0.1762,0.1769,0.211
w90.oracleGeneral.bin.zst_4493515,0.7986,0.798,0.7682,0.8002,0.8114,0.8172,0.7928,0.7745,0.8105,0.8223,0.7771,0.792,0.8125,0.8069,0.8002,0.8013,0.7783,0.8036,0.7943
w36.oracleGeneral.bin.zst_18915625,0.19,0.212,0.1761,0.1901,0.1971,0.2118,0.1929,0.1891,0.1958,0.3585,0.1874,0.2362,0.1977,0.1973,0.1903,0.1912,0.19,0.1919,0.3158
w05.oracleGeneral.bin.zst_73034546,0.8409,0.8742,0.7935,0.8444,0.8473,0.8528,0.8401,0.8178,0.8471,0.9235,0.8315,0.8665,0.8484,0.8448,0.8424,0.8396,0.8385,0.8383,0.8663
w43.oracleGeneral.bin.zst_15617420,0.8054,0.8235,0.7385,0.8147,0.8267,0.8371,0.8206,0.8014,0.8279,0.8887,0.7849,0.8052,0.8278,0.825,0.8059,0.8047,0.781,0.8082,0.8039
w04.oracleGeneral.bin.zst_77764582,0.4912,0.5559,0.4286,0.5069,0.5205,0.5399,0.509,0.4585,0.5208,0.7001,0.4641,0.5321,0.5227,0.5068,0.4936,0.4962,0.4962,0.492,0.4929
w07.oracleGeneral.bin.zst_67427405,0.6946,0.7529,0.6023,0.7343,0.788,0.819,0.7368,0.7042,0.7922,0.8009,0.701,0.7303,0.8138,0.7081,0.6929,0.7149,0.7001,0.7306,0.7467
w92.oracleGeneral.bin.zst_4284658,0.84,0.8386,0.8267,0.843,0.8428,0.8447,0.8446,0.8361,0.8421,0.8383,0.8264,0.8429,0.8428,0.8428,0.8364,0.8293,0.8351,0.8324,0.8329
w74.oracleGeneral.bin.zst_6343762,0.2155,0.2209,0.2057,0.2213,0.2365,0.2901,0.2284,0.2098,0.2349,0.2282,0.2225,0.2179,0.24,0.2249,0.2172,0.2173,0.2182,0.2171,0.2198
w11.oracleGeneral.bin.zst_46173369,0.9626,0.9751,0.8413,0.9625,0.9756,0.9788,0.9369,0.923,0.9757,0.9992,0.9122,0.9565,0.9769,0.9764,0.9627,0.9632,0.9549,0.9671,0.9608
w29.oracleGeneral.bin.zst_19087784,0.754,0.777,0.6278,0.7641,0.7875,0.805,0.774,0.7405,0.7896,0.9663,0.7463,0.778,0.7902,0.7714,0.7523,0.7485,0.7545,0.7467,0.8428
