,flex-0.10-0.05-1.00,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w03.oracleGeneral.bin.zst_84712978,0.8545,0.8787,0.799,0.8805,0.8534,0.8616,0.8695,0.8638,0.8533,0.8656,0.8632,0.9595,0.8552,0.8651,0.8627,0.858,0.8563,0.8569,0.8557,0.8501,0.8589
w42.oracleGeneral.bin.zst_16894445,0.7739,0.7913,0.7017,0.7894,0.7846,0.7988,0.8103,0.8127,0.817,0.836,0.7973,0.8785,0.8657,0.786,0.8018,0.7919,0.7729,0.7707,0.7917,0.7752,0.7809
w44.oracleGeneral.bin.zst_12116074,0.8306,0.8352,0.7961,0.8343,0.8343,0.8513,0.8586,0.856,0.8624,0.8681,0.8516,0.913,0.8978,0.9337,0.853,0.8487,0.8324,0.8326,0.8435,0.8363,0.9343
w98.oracleGeneral.bin.zst_3664418,0.9255,0.9384,0.8704,0.9381,0.928,0.9393,0.9425,0.9305,0.9267,0.9313,0.9391,0.9541,0.9368,0.9294,0.9397,0.9355,0.9263,0.9263,0.9259,0.927,0.9252
w68.oracleGeneral.bin.zst_8875971,0.7301,0.7708,0.6367,0.7657,0.7632,0.8091,0.8272,0.7914,0.7673,0.8029,0.8042,0.8261,0.7785,0.7392,0.818,0.8016,0.7345,0.7274,0.7334,0.7432,0.7204
w27.oracleGeneral.bin.zst_19501541,0.8511,0.8345,0.6649,0.8377,0.8136,0.8233,0.8262,0.8598,0.8453,0.9267,0.8231,0.9597,0.8774,0.8771,0.8219,0.819,0.8448,0.839,0.8313,0.8129,0.8724
w101.oracleGeneral.bin.zst_3587707,0.9296,0.941,0.8745,0.9407,0.9309,0.9421,0.9454,0.9331,0.9296,0.9344,0.942,0.9548,0.9366,0.933,0.9426,0.9374,0.9304,0.9299,0.9296,0.9305,0.928
w28.oracleGeneral.bin.zst_19739621,0.8761,0.8813,0.7958,0.8804,0.8798,0.8998,0.9046,0.9021,0.9082,0.9109,0.9,0.9213,0.9191,0.8781,0.9018,0.8967,0.8762,0.8767,0.8851,0.8863,0.8936
w23.oracleGeneral.bin.zst_27914470,0.8235,0.819,0.7844,0.8184,0.8408,0.8816,0.9045,0.8797,0.8926,0.9344,0.8829,0.8596,0.9045,0.8227,0.8902,0.8571,0.8215,0.8228,0.8338,0.8301,0.8274
w54.oracleGeneral.bin.zst_8832954,0.9755,0.9837,0.9662,0.9836,0.9771,0.9802,0.9809,0.9813,0.9757,0.9774,0.9808,0.9839,0.9791,0.9829,0.9808,0.9771,0.9755,0.9756,0.9754,0.9776,0.9827
w13.oracleGeneral.bin.zst_39822877,0.626,0.6573,0.4468,0.6526,0.6451,0.6791,0.6873,0.6697,0.7192,0.8515,0.6886,0.9475,0.6701,0.589,0.6842,0.676,0.6209,0.6219,0.6644,0.643,0.6353
w22.oracleGeneral.bin.zst_22248591,0.7472,0.7501,0.7247,0.7503,0.7501,0.7575,0.7655,0.7708,0.7746,0.7721,0.7584,0.8322,0.7939,0.7511,0.7581,0.7563,0.7477,0.7481,0.7599,0.7483,0.7587
w51.oracleGeneral.bin.zst_9551283,0.3521,0.3562,0.3262,0.356,0.3563,0.36,0.386,0.3662,0.358,0.4681,0.3588,0.3785,0.3995,0.3552,0.3615,0.3586,0.3536,0.3491,0.356,0.3509,0.3537
w84.oracleGeneral.bin.zst_4814234,0.7378,0.7897,0.5488,0.7853,0.7366,0.8204,0.8409,0.785,0.8156,0.8274,0.8244,0.8761,0.7746,0.6475,0.8277,0.8161,0.703,0.7061,0.7203,0.7313,0.657
w37.oracleGeneral.bin.zst_18840688,0.8647,0.9094,0.7937,0.9081,0.8752,0.8844,0.8888,0.8779,0.8724,0.9034,0.8838,0.9343,0.8703,0.906,0.8873,0.8685,0.8664,0.8645,0.8636,0.8656,0.9005
w87.oracleGeneral.bin.zst_3788806,0.8038,0.8337,0.705,0.8372,0.7891,0.7718,0.7649,0.7827,0.7857,0.7734,0.7717,0.9696,0.9309,0.8897,0.7649,0.7663,0.7999,0.81,0.7923,0.7917,0.9344
w34.oracleGeneral.bin.zst_19553551,0.8452,0.8438,0.7365,0.8441,0.8447,0.8443,0.8497,0.859,0.8871,0.957,0.845,0.9906,0.8817,0.8489,0.8452,0.8422,0.8455,0.8459,0.9316,0.8551,0.8682
w66.oracleGeneral.bin.zst_9169631,0.7896,0.794,0.7521,0.7933,0.7971,0.8102,0.8291,0.8074,0.7994,0.8244,0.8106,0.814,0.8285,0.8015,0.8168,0.8067,0.7901,0.7889,0.7976,0.7905,0.8
w06.oracleGeneral.bin.zst_69392150,0.336,0.4349,0.241,0.43,0.3796,0.4409,0.4829,0.456,0.5203,0.594,0.4478,0.5539,0.62,0.3577,0.4483,0.406,0.3594,0.3408,0.4068,0.3517,0.3494
w91.oracleGeneral.bin.zst_4316605,0.8463,0.8755,0.7532,0.8736,0.8563,0.8826,0.887,0.8714,0.8783,0.8986,0.8814,0.8737,0.8843,0.8513,0.8842,0.8705,0.8466,0.8483,0.8604,0.8573,0.8487
w79.oracleGeneral.bin.zst_5411394,0.9647,0.9637,0.9318,0.9633,0.962,0.9788,0.9818,0.982,0.981,0.9833,0.979,0.9727,0.9854,0.9653,0.9802,0.9797,0.9612,0.9595,0.9521,0.9646,0.9518
w41.oracleGeneral.bin.zst_17004738,0.2782,0.2836,0.2546,0.2838,0.2789,0.2822,0.2978,0.2845,0.2812,0.2863,0.2844,0.3144,0.2894,0.2819,0.2827,0.2811,0.2784,0.2787,0.279,0.2789,0.2893
w72.oracleGeneral.bin.zst_6407185,0.6937,0.6943,0.6128,0.6942,0.6938,0.71,0.7238,0.7061,0.7068,0.7236,0.7084,0.7588,0.7106,0.6951,0.7119,0.7038,0.6942,0.6959,0.703,0.7007,0.7082
w10.oracleGeneral.bin.zst_48342350,0.8901,0.9058,0.8624,0.9051,0.8991,0.9106,0.9172,0.9095,0.91,0.9227,0.9095,0.9269,0.9339,0.9009,0.9153,0.9021,0.8905,0.8909,0.8909,0.8934,0.9028
w08.oracleGeneral.bin.zst_44464937,0.9761,0.9798,0.9413,0.9793,0.9799,0.9824,0.9828,0.9854,0.9851,0.9885,0.9828,0.9836,0.9901,0.9796,0.9826,0.9825,0.9754,0.975,0.9763,0.9777,0.981
w103.oracleGeneral.bin.zst_3442094,0.4631,0.47,0.4199,0.4698,0.4627,0.4706,0.4841,0.4783,0.5494,0.4992,0.4712,0.7243,0.6342,0.6791,0.4714,0.4685,0.4633,0.4659,0.4637,0.4642,0.7049
w58.oracleGeneral.bin.zst_10530695,0.6596,0.6775,0.599,0.6752,0.6777,0.7006,0.7262,0.7098,0.729,0.7584,0.7011,0.7882,0.7602,0.6681,0.7057,0.6914,0.6574,0.6539,0.6801,0.662,0.6725
w52.oracleGeneral.bin.zst_11451546,0.6795,0.681,0.6279,0.6798,0.6855,0.7096,0.7188,0.705,0.6942,0.7082,0.7076,0.7115,0.7016,0.6838,0.7118,0.6969,0.6813,0.6817,0.6856,0.6874,0.6738
