,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w38.oracleGeneral.bin.zst_18535323,0.4997,0.5413,0.4047,0.5796,0.6206,0.6338,0.518,0.3915,0.6068,0.2412,0.4507,0.6099,0.5395,0.5605,0.4939,0.5997,0.4758
w71.oracleGeneral.bin.zst_6840776,0.1696,0.1811,0.1376,0.1783,0.1948,0.2413,0.2024,0.1368,0.1931,0.1527,0.1644,0.1908,0.1687,0.167,0.1703,0.1807,0.1545
w20.oracleGeneral.bin.zst_29842317,0.5997,0.6484,0.4909,0.6359,0.6425,0.6371,0.6072,0.6025,0.6287,0.6124,0.6031,0.6364,0.6145,0.6113,0.5827,0.6074,0.566
w93.oracleGeneral.bin.zst_3351357,0.6343,0.7262,0.5259,0.6848,0.7737,0.7758,0.6952,0.5517,0.7774,0.5927,0.6153,0.7742,0.6371,0.6456,0.6287,0.6867,0.6529
w15.oracleGeneral.bin.zst_33628757,0.6426,0.7126,0.429,0.7378,0.8516,0.8577,0.6614,0.675,0.8332,0.4949,0.613,0.8384,0.691,0.6813,0.5241,0.5705,0.435
w21.oracleGeneral.bin.zst_29416348,0.7907,0.8455,0.7332,0.8789,0.8813,0.876,0.849,0.8249,0.8844,0.7278,0.7833,0.8817,0.8139,0.8189,0.7248,0.8589,0.7023
w02.oracleGeneral.bin.zst_122181000,0.0193,0.0187,0.0104,0.0198,0.0241,0.06,0.0287,0.0109,0.0253,0.014,0.0155,0.0232,0.0201,0.0203,0.0249,0.0369,0.0178
w26.oracleGeneral.bin.zst_26532121,0.191,0.1905,0.1276,0.1918,0.2213,0.2648,0.2229,0.1264,0.2179,0.158,0.1833,0.2133,0.1781,0.1894,0.1952,0.2321,0.2127
w64.oracleGeneral.bin.zst_7458266,0.8922,0.8662,0.8628,0.8922,0.8705,0.8711,0.8835,0.8663,0.8694,0.8875,0.8906,0.8709,0.8662,0.8676,0.8923,0.8706,0.9002
w39.oracleGeneral.bin.zst_17920022,0.0632,0.068,0.0481,0.0666,0.0703,0.0776,0.0718,0.066,0.0721,0.0596,0.0635,0.066,0.0637,0.0637,0.0652,0.0639,0.0585
w32.oracleGeneral.bin.zst_20776392,0.3538,0.4629,0.2555,0.4108,0.4262,0.4316,0.4144,0.2952,0.4375,0.3167,0.4563,0.4185,0.3874,0.3548,0.403,0.3856,0.2786
w24.oracleGeneral.bin.zst_27165370,0.3855,0.4145,0.2857,0.4074,0.4381,0.45,0.3546,0.2645,0.4323,0.3021,0.373,0.4416,0.3829,0.3862,0.3572,0.4155,0.3585
w59.oracleGeneral.bin.zst_10223136,0.4928,0.4753,0.2341,0.467,0.4697,0.4708,0.4155,0.3823,0.5026,0.3778,0.4676,0.4618,0.4888,0.4945,0.4672,0.4656,0.4673
w106.oracleGeneral.bin.zst_3275919,0.12,0.1243,0.1031,0.1331,0.1358,0.1468,0.1394,0.1199,0.1414,0.138,0.1237,0.1266,0.1226,0.1204,0.1293,0.142,0.1131
w17.oracleGeneral.bin.zst_31398089,0.118,0.1249,0.0915,0.1198,0.1232,0.1424,0.1202,0.0976,0.1264,0.1059,0.1213,0.1262,0.1174,0.1179,0.115,0.1262,0.122
w88.oracleGeneral.bin.zst_4711053,0.1813,0.185,0.1142,0.1838,0.1929,0.2142,0.1675,0.115,0.1955,0.1322,0.1735,0.1915,0.1763,0.1789,0.1735,0.1861,0.1653
