,flex-0.10-0.05-1.00,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
w25.oracleGeneral.bin.zst_26569398,0.1727,0.1855,0.1196,0.1465,0.1422,0.1917,0.2165,0.1711,0.1542,0.2484,0.1653,0.1848,0.1443,0.1375,0.1729,0.1617,0.1817,0.1621,0.1839
w38.oracleGeneral.bin.zst_18535323,0.4376,0.4631,0.3447,0.5132,0.551,0.5767,0.5239,0.5174,0.5404,0.4878,0.5397,0.4259,0.559,0.5376,0.4587,0.4775,0.4677,0.5191,0.4483
w71.oracleGeneral.bin.zst_6840776,0.2667,0.273,0.1918,0.2821,0.2918,0.3476,0.344,0.3092,0.2974,0.2559,0.3543,0.2583,0.2946,0.2888,0.2598,0.2538,0.2663,0.2747,0.2455
w20.oracleGeneral.bin.zst_29842317,0.8174,0.9043,0.5946,0.8748,0.8891,0.8585,0.8437,0.8878,0.8682,0.8554,0.8817,0.8197,0.8717,0.8772,0.8468,0.8372,0.7953,0.8155,0.7568
w93.oracleGeneral.bin.zst_3351357,0.6609,0.7962,0.5786,0.7608,0.8594,0.8579,0.8362,0.8433,0.8619,0.7781,0.8284,0.6596,0.859,0.8592,0.6806,0.7032,0.7328,0.7521,0.6996
w15.oracleGeneral.bin.zst_33628757,0.696,0.7767,0.5548,0.8287,0.8765,0.8819,0.7812,0.8173,0.8657,0.8256,0.7275,0.7062,0.8776,0.8698,0.7602,0.7564,0.7256,0.7509,0.6565
w21.oracleGeneral.bin.zst_29416348,0.8159,0.8504,0.6856,0.9165,0.9334,0.9194,0.9082,0.9286,0.9397,0.9086,0.8583,0.791,0.934,0.9339,0.8105,0.8229,0.8597,0.8989,0.8416
w02.oracleGeneral.bin.zst_122181000,0.011,0.0109,0.0078,0.0113,0.0133,0.0444,0.0266,0.0112,0.0135,0.012,0.015,0.0101,0.014,0.0122,0.0113,0.0113,0.0126,0.0168,0.0113
w26.oracleGeneral.bin.zst_26532121,0.3431,0.3433,0.26,0.3417,0.3584,0.4051,0.4266,0.3432,0.3669,0.3644,0.4723,0.3411,0.3627,0.3491,0.3368,0.3412,0.3479,0.3645,0.3524
w64.oracleGeneral.bin.zst_7458266,0.938,0.9101,0.9077,0.9379,0.9133,0.9137,0.928,0.9112,0.9128,0.9101,0.9324,0.9366,0.9136,0.9136,0.9101,0.9112,0.9381,0.9135,0.9448
w39.oracleGeneral.bin.zst_17920022,0.0683,0.0716,0.0475,0.071,0.0782,0.0896,0.0974,0.0977,0.0812,0.0957,0.0932,0.0692,0.0745,0.0724,0.0692,0.0689,0.0722,0.0678,0.0611
w32.oracleGeneral.bin.zst_20776392,0.3476,0.4168,0.2887,0.3916,0.3925,0.3958,0.4024,0.355,0.3945,0.4769,0.3739,0.4133,0.3866,0.3954,0.3737,0.3469,0.3831,0.3683,0.3063
w24.oracleGeneral.bin.zst_27165370,0.5626,0.5869,0.3955,0.5931,0.6231,0.6271,0.6083,0.6129,0.6183,0.5515,0.6435,0.5699,0.6202,0.6218,0.5575,0.556,0.5824,0.5906,0.5705
w59.oracleGeneral.bin.zst_10223136,0.3688,0.3733,0.1835,0.3652,0.3564,0.3834,0.3881,0.4165,0.3754,0.6259,0.5367,0.3731,0.3626,0.3562,0.3616,0.3674,0.3645,0.3671,0.4078
w106.oracleGeneral.bin.zst_3275919,0.1659,0.172,0.1444,0.1831,0.1808,0.195,0.2017,0.1971,0.1877,0.1936,0.2595,0.1723,0.1815,0.1747,0.1674,0.165,0.1745,0.1889,0.1601
w17.oracleGeneral.bin.zst_31398089,0.1693,0.1777,0.1303,0.17,0.1747,0.1945,0.1848,0.1842,0.1787,0.2,0.218,0.1782,0.1808,0.1793,0.1682,0.168,0.166,0.1749,0.181
w88.oracleGeneral.bin.zst_4711053,0.2402,0.2412,0.1547,0.2431,0.2638,0.295,0.2864,0.3077,0.2689,0.2611,0.348,0.2308,0.2672,0.2592,0.2331,0.2355,0.2402,0.2387,0.2282
w85.oracleGeneral.bin.zst_4790048,0.8016,0.9418,0.7824,0.9417,0.9597,0.9603,0.9428,0.9295,0.9576,0.9426,0.8621,0.7863,0.96,0.9591,0.9414,0.9521,0.8321,0.958,0.797
